"","Party","Votes","Year","System"
"177","United.Kingdom.Unionist",12817,1997,"FPTP"
"178","Conservative",58235.5661157025,1992,"CV"
"179","Natural.Law",31283.5000000001,1992,"CV"
"180","Ulster.Unionist",45174.8333333333,1992,"CV"
"181","Democratic.Unionist",34346.3333333333,1992,"CV"
"182","Alliance",34332.5,1992,"CV"
"183","Social.Democratic.and.Labour",61481.6666666667,1992,"CV"
"184","Sinn.Fein",39145.5,1992,"CV"
"185","Labour",47094.8285714285,1992,"CV"
"186","Liberal.Democrat",50934.8305084744,1992,"CV"
"187","Plaid.Cymru",37508,1992,"CV"
"188","Scottish.National",41970.9333333333,1992,"CV"
"189","Liberal",32371.9999999999,1992,"CV"
"190","Green",34114.1999999999,1992,"CV"
"191","Independent.Labour",33461,1992,"CV"
"192","Speaker",22251,1992,"CV"
"193","Labour",42734.1962962963,1992,"FPTP"
"194","Conservative",41943.4732142857,1992,"FPTP"
"195","Liberal.Democrat",300515.5,1992,"FPTP"
"196","Plaid.Cymru",37508,1992,"FPTP"
"197","Scottish.National",209854.666666667,1992,"FPTP"
"198","Ulster.Unionist",30116.5555555556,1992,"FPTP"
"199","Democratic.Unionist",34346.3333333333,1992,"FPTP"
"200","Social.Democratic.and.Labour",46111.25,1992,"FPTP"
"201","Ulster.Popular.Unionist",19305,1992,"FPTP"
"202","Speaker",22251,1992,"FPTP"
"203","Ulster.Unionist",39461.4285714286,1987,"CV"
"204","Alliance",36335.5,1987,"CV"
"205","The.Workers...NI.",19294,1987,"CV"
"206","Democratic.Unionist",42821,1987,"CV"
"207","Social.Democratic.and.Labour",51362.3333333333,1987,"CV"
"208","Sinn.Fein",83389,1987,"CV"
"209","Ulster.Popular.Unionist",18420,1987,"CV"
"210","Labour",46113.0967741935,1987,"CV"
"211","Liberal",50535.8072289156,1987,"CV"
"212","Conservative",54947.12,1987,"CV"
"213","Plaid.Cymru",41199.6666666667,1987,"CV"
"214","Social.Democratic",48417.7384615385,1987,"CV"
"215","Scottish.National",41687.3,1987,"CV"
"216","Green",29917.6666666666,1987,"CV"
"217","Independent.Labour",26176,1987,"CV"
"218","Speaker",24188,1987,"CV"
"219","Labour",43888.3421052632,1987,"FPTP"
"220","Liberal",246733.647058824,1987,"FPTP"
"221","Conservative",36631.4133333333,1987,"FPTP"
"222","Plaid.Cymru",41199.6666666667,1987,"FPTP"
"223","Social.Democratic",629430.6,1987,"FPTP"
"224","Scottish.National",138957.666666667,1987,"FPTP"
"225","Ulster.Unionist",30692.2222222222,1987,"FPTP"
"226","Democratic.Unionist",28547.3333333333,1987,"FPTP"
"227","Social.Democratic.and.Labour",51362.3333333333,1987,"FPTP"
"228","Sinn.Fein",83389,1987,"FPTP"
"229","Independent.Labour",26176,1987,"FPTP"
"230","Ulster.Popular.Unionist",18420,1987,"FPTP"
"231","Speaker",24188,1987,"FPTP"
"232","Ecology",26621.5,1983,"CV"
"233","Official.Unionist.Party",52141.2,1983,"CV"
"234","Ulster.Popular.Unionist",22861,1983,"CV"
"235","Democratic.Unionist.Party",38187.25,1983,"CV"
"236","Alliance",26130,1983,"CV"
"237","SDLP",45670.6666666667,1983,"CV"
"238","Sinn.Fein",51350.5,1983,"CV"
"239","Labour",44451.7894736842,1983,"CV"
"240","Alliance..Lib.",46674.6483516484,1983,"CV"
"241","Conservative",50641.1367187499,1983,"CV"
"242","Plaid.Cymru",41501.6666666667,1983,"CV"
"243","Alliance..SDP.",44939.4102564103,1983,"CV"
"244","SNP",36462.1111111111,1983,"CV"
"245","BNP",14287,1983,"CV"
"246","National.Front",27053,1983,"CV"
"247","Ind.Labour",16447,1983,"CV"
"248","Speaker",22292,1983,"CV"
"249","Labour",40410.7177033493,1983,"FPTP"
"250","Alliance..Lib.",235966.277777778,1983,"FPTP"
"251","Conservative",32820.5848101266,1983,"FPTP"
"252","Plaid.Cymru",62252.5,1983,"FPTP"
"253","Alliance..SDP.",584212.333333333,1983,"FPTP"
"254","SNP",164079.5,1983,"FPTP"
"255","Official.Unionist.Party",23700.5454545455,1983,"FPTP"
"256","Ulster.Popular.Unionist",22861,1983,"FPTP"
"257","Democratic.Unionist.Party",50916.3333333333,1983,"FPTP"
"258","SDLP",137012,1983,"FPTP"
"259","Sinn.Fein",102701,1983,"FPTP"
"260","Speaker",22292,1983,"FPTP"
"261","Democratic.Unionist",70975.0000000002,1979,"CV"
"262","Official.Unionist",63644.5000000003,1979,"CV"
"263","Alliance",82892.0000000002,1979,"CV"
"264","SDLP",45670.0000000002,1979,"CV"
"265","Republican.Clubs",12100.0000000001,1979,"CV"
"266","Ulster.Unionist",36989.0000000003,1979,"CV"
"267","United.Ulster.Unionist",39856.0000000001,1979,"CV"
"268","Labour",47344.7037037037,1979,"CV"
"269","Conservative",55912.4204081632,1979,"CV"
"270","Liberal",41451.8846153847,1979,"CV"
"271","Plaid.Cymru",33111,1979,"CV"
"272","SNP",33617.2666666667,1979,"CV"
"273","National.Front",24963.375,1979,"CV"
"274","Ecology",19959.0000000001,1979,"CV"
"275","WRP",13531,1979,"CV"
"276","Speaker",27035,1979,"CV"
"277","Labour",42928.2201492537,1979,"FPTP"
"278","Conservative",40408.6814159292,1979,"FPTP"
"279","Liberal",391908.727272727,1979,"FPTP"
"280","Plaid.Cymru",66222,1979,"FPTP"
"281","SNP",252129.5,1979,"FPTP"
"282","Democratic.Unionist",23658.3333333333,1979,"FPTP"
"283","Official.Unionist",50915.6,1979,"FPTP"
"284","SDLP",137010,1979,"FPTP"
"285","Ind.",32047,1979,"FPTP"
"286","Speaker",27035,1979,"FPTP"
"287","Ulster.Unionist",36989,1979,"FPTP"
"288","United.Ulster.Unionist",39856,1979,"FPTP"
