"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,52506,0,0,0,0,0,0,0,0,0,"Harrow West","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hartlepool","Labour","Labour",0,44452,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52223.9999999999,0,0,0,0,0,0,0,0,0,"Harwich","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hastings and Rye","Liberal.Democrat","Labour",0,0,0,48920,0,0,0,0,0,0,0,0,0,0,0
0,47879.9999999999,0,0,0,0,0,0,0,0,0,"Havant","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hayes and Harlington","Labour","Labour",0,40452,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hazel Grove","Liberal.Democrat","Liberal.Democrat",0,0,0,49157.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,55092,0,0,0,0,0,0,0,0,0,"Hemel Hempstead","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hemsworth","Labour","Labour",0,45476.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2620.0000000059,0,0,0,0,0,0,0,0,0,"Hendon","Labour","Labour",0,47262.9999999942,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51383.0000000001,0,0,0,0,0,0,0,0,0,"Henley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hereford","Liberal.Democrat","Liberal.Democrat",0,0,0,52552.9999999999,0,0,0,0,0,0,0,0,0,0,0
0,54444.9999999999,0,0,0,0,0,0,0,0,0,"Hertford and Stortford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51995,0,0,0,0,0,0,0,0,0,"Hertfordshire North East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55410.9999999999,0,0,0,0,0,0,0,0,0,"Hertfordshire South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50348,0,0,0,0,0,0,0,0,0,"Hertsmere","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45671,0,0,0,0,0,0,0,0,0,"Hexham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Heywood and Middleton","Labour","Labour",0,50550.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"High Peak","Labour","Labour",0,57153.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52427.0000000001,0,0,0,0,0,0,0,0,0,"Hitchin and Harpenden","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Holborn and St. Pancras","Labour","Labour",0,37364,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43681.9999999999,0,0,0,0,0,0,0,0,0,"Hornchurch","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hornsey and Wood Green","Labour","Labour",0,51487.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56959,0,0,0,0,0,0,0,0,0,"Horsham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Houghton and Washington East","Labour","Labour",0,41823,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46386,0,0,0,0,0,0,0,0,0,"Hove","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Huddersfield","Labour","Labour",0,44554,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hull East","Labour","Labour",0,40486.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hull North","Labour","Labour",0,38794.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hull West and Hessle","Labour","Labour",0,38353.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56697,0,0,0,0,0,0,0,0,0,"Huntingdon","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hyndburn","Labour","Labour",0,47982.0000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48850.0000000001,0,0,0,0,0,0,0,0,0,"Ilford North","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ilford South","Labour","Labour",0,50019,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Inverness East, Nairn and Lochaber","Scottish.National","Labour",0,0,0,0,0,0,0,47544,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ipswich","Labour","Labour",0,48365,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Isle of Wight","Liberal.Democrat","Liberal.Democrat",0,0,0,72225,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Islington North","Labour","Labour",0,35860,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Islington South and Finsbury","Labour","Labour",0,35044,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Islwyn","Labour","Labour",0,36403.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Jarrow","Labour","Labour",0,41404,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Keighley","Labour","Labour",0,51480.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36585.0000000001,0,0,0,0,0,0,0,0,0,"Kensington and Chelsea","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56956.9999999999,0,0,0,0,0,0,0,0,0,"Kettering","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Kilmarnock and Loudoun","Scottish.National","Labour",0,0,0,0,0,0,0,47409,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Kingston and Surbiton","Liberal.Democrat","Liberal.Democrat",0,0,0,55565.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Kingswood","Labour","Labour",0,59772.0000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Kirkcaldy","Referendum","Labour",0,0,0,0,0,0,34973.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Knowsley North and Sefton East","Labour","Labour",0,49703,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Knowsley South","Labour","Labour",0,47590,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lancashire West","Labour","Labour",0,54337,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58861.9999999998,0,0,0,0,0,0,0,0,0,"Lancaster and Wyre","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leeds Central","Labour","Labour",0,37009,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leeds East","Labour","Labour",0,35791.9999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leeds North East","Labour","Labour",0,45509,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leeds North West","Liberal.Democrat","Labour",0,0,0,49144,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leeds West","Labour","Labour",0,40220.0000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leicester East","Labour","Labour",0,44299.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leicester South","Labour","Labour",0,48114.0000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6566.99999999994,0,0,0,0,0,0,"Leicester West","Labour","Labour",0,34347.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leicestershire North West","Labour","Labour",0,52025.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leigh","Labour","Labour",0,45920,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50552.9999999999,0,0,0,0,0,0,0,0,0,"Leominster","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lewes","Liberal.Democrat","Liberal.Democrat",0,0,0,49169.0000000002,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lewisham Deptford","Labour","Labour",0,33644.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lewisham East","Labour","Labour",0,36880,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lewisham West","Labour","Labour",0,37564,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Leyton and Wanstead","Labour","Labour",0,39066,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48593.0000000001,0,0,0,0,0,0,0,0,0,"Lichfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Lincoln","Labour","Labour",0,46547.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Linlithgow","Scottish.National","Labour",0,0,0,0,0,0,0,39654.0000000001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Liverpool Garston","Labour","Labour",0,43361.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Liverpool Riverside","Labour","Labour",0,37956.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Liverpool Walton","Labour","Labour",0,40207,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Liverpool West Derby","Labour","Labour",0,42157,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Livingston","Labour","Labour",0,42834,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Llanelli","Labour","Labour",0,41211,0,0,0,0,0,0,0,0,0,0,0,0,0
0,52365,0,0,0,0,0,0,0,0,0,"Loughborough","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49953,0,0,0,0,0,0,0,0,0,"Louth and Horncastle","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
