"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,0,0,0,0,0,0,0,0,0,0,"Carshalton and Wallington","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Castle Point","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ceredigion Gogledd Penfro","Plaid.Cymru","Plaid.Cymru",0,0,0,0,0,100.000000000005,0,0,0,0,0,0,0,0,0
0,99.9999999999957,0,0,0,0,0,0,0,0,0,"Charnwood","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Chatham and Aylesford","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cheadle","Liberal.Democrat","Conservative",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chelmsford","Liberal.Democrat","Conservative",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cheltenham","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000007,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999957,0,0,0,0,0,0,0,0,0,"Chesham and Amersham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chester, City of","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chesterfield","Liberal.Democrat","Labour",0,0,0,100.000000000006,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Chichester","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Chingford and Woodford Green","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Chipping Barnet","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Chorley","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Christchurch","Liberal.Democrat","Conservative",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
