"Conservative","Natural.Law","Ulster.Unionist","Democratic.Unionist","Alliance","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Constituency","CV","FPTP","Labour","Liberal.Democrat","Plaid.Cymru","Scottish.National","Liberal","Green","Independent.Conservative","Independent.Labour","Social.Democrat","Speaker"
18957,0,25828,0,0,0,0,0,"Strangford","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,33175,0,18918,0,0,"Ulster Mid","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,44359,0,0,0,0,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",39361.9999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen North","Labour","Labour",40060.9999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen South","Liberal.Democrat","Conservative",0,41089,0,0,0,0,0,0,0,0
64349.9999999999,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
52341,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
53154,0,0,0,0,0,0,0,"Altrincham and Sale","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",48232.0000000001,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Amber Valley","Labour","Conservative",59417.9999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Angus East","Scottish.National","Scottish.National",0,0,0,47398.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal.Democrat","Liberal.Democrat",0,36491,0,0,0,0,0,0,0,0
61064,0,0,0,0,0,0,0,"Arundel","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashfield","Labour","Labour",58339.9999999999,0,0,0,0,0,0,0,0,0
56841,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",43366,0,0,0,0,0,0,0,0,0
63597.9999999999,0,0,0,0,0,0,0,"Aylesbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ayr","Labour","Conservative",54406.9999999999,0,0,0,0,0,0,0,0,0
58562,0,0,0,0,0,0,0,"Banbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Banff and Buchan","Scottish.National","Scottish.National",0,0,0,46191,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barking","Liberal.Democrat","Labour",0,35313,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley Central","Labour","Labour",39056,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley East","Labour","Labour",39314,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley West and Penistone","Labour","Labour",48005.9999999999,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barrow and Furness","Labour","Labour",55646.9999999999,0,0,0,0,0,0,0,0,0
53801,0,0,0,0,0,0,0,"Basildon","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
68676.9999999999,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",54464.9999999998,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bath","Liberal.Democrat","Liberal.Democrat",0,52374.9999999999,0,0,0,0,0,0,0,0
60858,0,0,0,0,0,0,0,"Batley and Spen","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
52280.9999999999,0,0,0,0,0,0,0,"Battersea","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
52713.0000000001,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
46285.0000000001,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
69139.9999999999,0,0,0,0,0,0,0,"Bedfordshire Mid","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
59106.9999999999,0,0,0,0,0,0,0,"Bedfordshire North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
65639,0,0,0,0,0,0,0,"Bedfordshire South West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
73574.0000000001,0,0,0,0,0,0,0,"Berkshire East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Berwick-upon-Tweed","Liberal.Democrat","Liberal.Democrat",0,43455.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bethnal Green and Stepney","Liberal.Democrat","Labour",0,34976.9999999998,0,0,0,0,0,0,0,0
64714,0,0,0,0,0,0,0,"Beverley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
51880.0000000001,0,0,0,0,0,0,0,"Bexhill and Battle","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
47233,0,0,0,0,0,0,0,"Bexleyheath","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
66197.9999999999,0,0,0,0,0,0,0,"Billericay","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birkenhead","Labour","Labour",45733.0000000001,0,0,0,0,0,0,0,0,0
