"UK.Independence.Party","Conservative","Green","Democratic.Unionist.Party","Alliance","Sinn.Fein","Social.Democratic.and.Labour.Party","Ulster.Unionist.Party","Cannabis.is.Safer.than.Alcohol.Party","Traditional.Unionist.Voice","Ind86","Constituency","CV","FPTP","Labour","Plaid.Cymru","Liberal.Democrat","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Respect","Speaker","Ind38"
0,0,0,0,0,0,0,0,0,0,0,"Caithness, Sutherland and Easter Ross","Liberal.Democrat","Scottish.National.Party",0,0,34186,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Calder Valley","Labour","Conservative",52987.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Camberwell and Peckham","Labour","Labour",50247,0,0,0,0,0,0,0,0
0,0,44970.9999999999,0,0,0,0,0,0,0,0,"Camborne and Redruth","Green","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cambridge","Liberal.Democrat","Labour",0,0,51587.0000000001,0,0,0,0,0,0
47099,0,0,0,0,0,0,0,0,0,0,"Cannock Chase","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,53300,0,0,0,0,0,0,0,0,0,"Canterbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff Central","Liberal.Democrat","Labour",0,0,38611.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff North","Labour","Conservative",50742,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff South and Penarth","Labour","Labour",46667.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff West","Labour","Labour",43792,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carlisle","Labour","Conservative",42461,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carmarthen East and Dinefwr","Plaid.Cymru","Plaid.Cymru",0,39399.0000000001,0,0,0,0,0,0,0
0,0,40349.9999999999,0,0,0,0,0,0,0,0,"Carmarthen West and South Pembrokeshire","Green","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carshalton and Wallington","Liberal.Democrat","Liberal.Democrat",0,0,47387,0,0,0,0,0,0
45450.0000000001,0,0,0,0,0,0,0,0,0,0,"Castle Point","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Central Ayrshire","Scottish.National.Party","Scottish.National.Party",0,0,0,0,50774,0,0,0,0
0,54101.0000000001,0,0,0,0,0,0,0,0,0,"Central Devon","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,53926.9999999999,0,0,0,0,0,0,0,0,0,"Central Suffolk and North Ipswich","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Ceredigion","Liberal.Democrat","Liberal.Democrat",0,0,37416.0000000001,0,0,0,0,0,0
0,51772.0000000001,0,0,0,0,0,0,0,0,0,"Charnwood","Conservative","Conservative",0,0,0,0,0,0,0,0,0
42939.9999999999,0,0,0,0,0,0,0,0,0,0,"Chatham and Aylesford","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cheadle","Liberal.Democrat","Conservative",0,0,52420.9999999999,0,0,0,0,0,0
0,53152,0,0,0,0,0,0,0,0,0,"Chelmsford","Conservative","Conservative",0,0,0,0,0,0,0,0,0
