"Ulster.Unionist","Alliance","The.Workers...NI.","Democratic.Unionist","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Independent.Ulster.Unionist","Constituency","CV","FPTP","Labour","Liberal","Conservative","Plaid.Cymru","Social.Democratic","Scottish.National","Green","Independent.Labour","Speaker"
0,0,0,0,52268,0,0,0,"Newry and Armagh","Social.Democratic.and.Labour","Social.Democratic.and.Labour",0,0,0,0,0,0,0,0,0
37137,0,0,0,0,0,0,0,"Strangford","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,43461,0,8614.99999999998,0,0,"Ulster Mid","Democratic.Unionist","Democratic.Unionist",0,0,0,0,0,0,0,0,0
42330,0,0,0,0,0,0,0,"Upper Bann","Ulster.Unionist","Ulster.Unionist",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberavon","Labour","Labour",40627.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen North","Labour","Labour",44169,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aberdeen South","Social.Democratic","Labour",0,0,0,0,42256,0,0,0,0
0,0,0,0,0,0,0,0,"Aldershot","Conservative","Conservative",0,0,59821,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aldridge-Brownhills","Conservative","Conservative",0,0,49556,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Altrincham and Sale","Conservative","Conservative",0,0,51881,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Alyn and Deeside","Labour","Labour",47200,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Amber Valley","Conservative","Conservative",0,0,55610.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Angus East","Scottish.National","Scottish.National",0,0,0,0,0,46091,0,0,0
0,0,0,0,0,0,0,0,"Argyll and Bute","Liberal","Liberal",0,36792,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Arundel","Conservative","Conservative",0,0,56009,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashfield","Labour","Labour",54766,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashford","Conservative","Conservative",0,0,53021,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ashton-under-Lyne","Labour","Labour",43251.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Aylesbury","Conservative","Conservative",0,0,57317.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ayr","Labour","Conservative",53109,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Banbury","Conservative","Conservative",0,0,52890.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Banff and Buchan","Scottish.National","Scottish.National",0,0,0,0,0,43975,0,0,0
0,0,0,0,0,0,0,0,"Barking","Liberal","Labour",0,34541,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley Central","Labour","Labour",39155,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley East","Labour","Labour",38866.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barnsley West and Penistone","Labour","Labour",46214.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Barrow and Furness","Conservative","Conservative",0,0,54735,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Basildon","Conservative","Conservative",0,0,50206,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,60053.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",52773.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bath","Social.Democratic","Conservative",0,0,0,0,51812,0,0,0,0
