"Labour","UK.Independence.Party","Conservative","Plaid.Cymru","Liberal.Democrat","Green","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Cannabis.is.Safer.than.Alcohol.Party","Respect","Speaker","Ind38","Constituency","CV1","CV3","CV17","CV18","CV20","CV31","CV38","CV41","CV45","CV53","CV63","CV66","CV91","CV99","CV113","CV135","CV136","CV146","CV167","CV169","CV197","CV206","CV211","CV246","CV263","CV290","CV345","CV360","CV366","CV385","CV408","CV420","CV423","CV434","CV446","CV449","CV451","CV501","CV560","CV612","CV614","CV672","CV688","CV692","CV694","CV697","CV706","CV730","CV759","CV767","CV884","CV937","CV972","CV975","CV989","CV1001","CV1020","CV1054","CV1064","CV1097","CV1105","CV1164","CV1175","CV1202","CV1213","CV1221","CV1228","CV1229","CV1233","CV1290","CV1305","CV1308","CV1309","CV1335","CV1339","CV1362","CV1434","CV1446","CV1448","CV1450","CV1453","CV1462","CV1469","CV1511","CV1516","CV1535","CV1544","CV1571","CV1576","CV1581","CV1582","CV1586","CV1595","CV1602","CV1619","CV1649","CV1688","CV1708","CV1745","CV1757","CV1774","CV1783","CV1784","CV1795","CV1798","CV1813","CV1836","CV1858","CV1892","CV1897","CV1910","CV1929","CV1935","CV1945","CV1961","CV1966","CV1969","CV1970","CV1975","CV1977","CV1979","CV1980","CV2005","CV2006","CV2012","CV2015","CV2016","CV2017","CV2019","CV2020","CV2024","CV2027","CV2031","CV2038","CV2039","CV2045","CV2060","CV2075","CV2077","CV2082","CV2085","CV2087","CV2093","CV2094","CV2096","CV2101","CV2103","CV2115","CV2119","CV2147","CV2148","CV2163","CV2168","CV2186","CV2215","CV2238","CV2249","CV2268","CV2273","CV2287","CV2288","CV2289","CV2290","CV2296","CV2302","CV2360","CV2365","CV2373","CV2384","CV2386","CV2393","CV2410","CV2419","CV2429","CV2435","CV2437","CV2444","CV2456","CV2471","CV2474","CV2479","CV2486","CV2487","CV2525","CV2527","CV2534","CV2539","CV2570","CV2632","CV2645","CV2656","CV2688","CV2689","CV2693","CV2695","CV2697","CV2698"
28401,3375,4098,0,2454,2140,362,0,0,0,0,0,0,"Liverpool, Wavertree","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
30842,3475,2710,0,959,996,0,0,0,0,0,0,0,"Liverpool, West Derby","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
15893,1757,5929,0,1232,0,0,32736,0,0,0,0,0,"Livingston","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party"
15948,6269,5534,8853,751,689,123,0,0,0,0,0,0,"Llanelli","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru","Plaid.Cymru"
16579,5704,25762,0,2130,1845,0,0,0,0,0,0,0,"Loughborough","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
9077,10778,25755,0,2255,1549,0,0,0,0,0,0,0,"Louth and Horncastle","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
5902,7164,26093,0,6469,2435,0,0,0,0,0,0,0,"Ludlow","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
22243,5318,12739,0,1299,972,0,0,0,0,0,0,0,"Luton North","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
18660,5129,12949,0,3183,1237,0,0,0,0,0,0,0,"Luton South","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
11252,6037,26063,0,3842,2404,0,0,0,0,0,0,0,"Macclesfield","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
6394,4539,35453,0,5337,1915,0,0,0,0,0,0,0,"Maidenhead","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
