Constituency,Nation,Region,Electorate,Votes,Result,Con,Lab,LDem,SNP,PC,UKIP,Grn,Ind,Oth,DUP,SF,AP,SDLP,UUP,WP,PBPA,TUV,CISTA,Speaker
South East Cornwall,England,South West,71880,53214,Hold,29493,12050,10336,,,,1335,,,,,,,,,,,,
South Holland & The Deepings,England,East Midlands,76374,50315,Hold,35179,10282,1433,,,2185,894,342,,,,,,,,,,,
South Leicestershire,England,East Midlands,78985,56689,Hold,34795,16164,2403,,,2235,1092,,,,,,,,,,,,
South Norfolk,England,East of England,83055,61111,Hold,35580,18902,5074,,,,1555,,,,,,,,,,,,
South Northamptonshire,England,East Midlands,85759,64998,Hold,40599,17759,3623,,,1363,1357,297,,,,,,,,,,,
South Ribble,England,North West,75752,54834,Hold,28980,21559,2073,,,1387,494,,341,,,,,,,,,,
South Shields,England,North East,63433,40772,Hold,10570,25078,681,,,3006,1437,,,,,,,,,,,,
South Staffordshire,England,West Midlands,73441,51109,Hold,35656,12923,1348,,,,1182,,,,,,,,,,,,
South Suffolk,England,East of England,75485,54235,Hold,32829,15080,3154,,,1449,1723,,,,,,,,,,,,
South Swindon,England,South West,72372,51271,Hold,24809,22345,2079,,,1291,747,,,,,,,,,,,,
South Thanet,England,South East,72334,49638,Hold,25262,18875,1514,,,2997,809,181,,,,,,,,,,,
South West Bedfordshire,England,East of England,79658,55635,Hold,32961,18793,2630,,,,950,,301,,,,,,,,,,
South West Devon,England,South West,71260,52857,Hold,31634,15818,2732,,,1540,1133,,,,,,,,,,,,
South West Hertfordshire,England,East of England,81087,60653,Hold,35128,15578,7078,,,1293,1576,,,,,,,,,,,,
South West Norfolk,England,East of England,77874,52416,Hold,32894,14582,2365,,,2575,,,,,,,,,,,,,
South West Surrey,England,South East,78042,60432,Hold,33683,7606,5967,,,1083,,,12093,,,,,,,,,,
South West Wiltshire,England,South West,76898,54751,Hold,32841,14515,5360,,,,1445,590,,,,,,,,,,,
"Southampton, Itchen",England,South East,71722,46783,Hold,21773,21742,1421,,,1122,725,,,,,,,,,,,,
"Southampton, Test",England,South East,70199,46908,Hold,16006,27514,1892,,,,,680,816,,,,,,,,,,
Southend West,England,East of England,67677,47191,Hold,26046,16046,2110,,,1666,831,187,305,,,,,,,,,,
Southport,England,North West,69400,47956,Gain,18541,15627,12661,,,1127,,,,,,,,,,,,,
Spelthorne,England,South East,72641,50115,Hold,28692,15267,2755,,,2296,1105,,,,,,,,,,,,
St Albans,England,East of England,72811,56998,Hold,24571,13137,18462,,,,828,,,,,,,,,,,,
St Austell & Newquay,England,South West,78609,54212,Hold,26856,15714,11642,,,,,,,,,,,,,,,,
St Helens North,England,North West,76088,50222,Hold,13606,32012,1287,,,2097,1220,,,,,,,,,,,,
St Helens South & Whiston,England,North West,79036,52886,Hold,11536,35879,2101,,,1953,1417,,,,,,,,,,,,
St Ives,England,South West,67145,51226,Hold,22120,7298,21808,,,,,,,,,,,,,,,,
Stafford,England,West Midlands,68445,51924,Hold,28424,20695,1540,,,,1265,,,,,,,,,,,,
Staffordshire Moorlands,England,West Midlands,63260,44655,Hold,25963,15133,1494,,,,541,1524,,,,,,,,,,,
Stalybridge & Hyde,England,North West,71409,42457,Hold,16193,24277,996,,,,991,,,,,,,,,,,,
Stevenage,England,East of England,70765,49329,Hold,24798,21414,2032,,,,1085,,,,,,,,,,,,
Stirling,Scotland,Scotland,66415,49356,Gain,18291,10902,1683,18143,,,,337,,,,,,,,,,,
Stockport,England,North West,64236,41544,Hold,11805,26282,1778,,,1088,591,,,,,,,,,,,,
Stockton North,England,North East,66285,42731,Hold,15589,24304,646,,,1834,358,,,,,,,,,,,,
Stockton South,England,North East,75625,53824,Gain,25214,26102,951,,,1186,371,,,,,,,,,,,,
StokeonTrent Central,England,West Midlands,56915,33145,Hold,13186,17083,680,,,1608,378,210,,,,,,,,,,,
StokeonTrent North,England,West Midlands,71558,41786,Hold,18913,21272,916,,,,685,,,,,,,,,,,,
StokeonTrent South,England,West Midlands,66057,41690,Gain,20451,19788,808,,,,643,,,,,,,,,,,,
Stone,England,West Midlands,67824,50032,Hold,31614,14119,2222,,,1370,707,,,,,,,,,,,,
Stourbridge,England,West Midlands,70215,47135,Hold,25706,18052,1083,,,1801,493,,,,,,,,,,,,
Strangford,Northern Ireland,Northern Ireland,64327,38749,,507,,,,,,607,,,24036,1083,5693,2404,4419,,,,,
StratfordonAvon,England,West Midlands,72572,52532,Hold,32657,11699,6357,,,,1345,255,219,,,,,,,,,,
Streatham,England,London,78649,55795,Hold,11927,38212,3611,,,349,1696,,,,,,,,,,,,
Stretford & Urmston,England,North West,71833,50191,Hold,13814,33519,1001,,,1094,641,122,,,,,,,,,,,
Stroud,England,South West,82839,63816,Gain,29307,29994,2053,,,1039,1423,,,,,,,,,,,,
Suffolk Coastal,England,East of England,79366,58074,Hold,33713,17701,4048,,,,1802,810,,,,,,,,,,,
Sunderland Central,England,North East,72728,45141,Hold,15089,25056,1777,,,2209,705,305,,,,,,,,,,,
Surrey Heath,England,South East,80764,57822,Hold,37118,12175,6271,,,,2258,,,,,,,,,,,,
Sutton & Cheam,England,London,70404,51970,Hold,26567,10663,13869,,,,871,,,,,,,,,,,,
Sutton Coldfield,England,West Midlands,75652,52858,Hold,32224,16885,2302,,,,965,482,,,,,,,,,,,
Swansea East,Wales,Wales,58521,35159,Hold,9139,22307,625,,,1040,359,1689,,,,,,,,,,,
Swansea West,Wales,Wales,56892,37282,Hold,11680,22278,1269,,1529,,434,,92,,,,,,,,,,
Tamworth,England,West Midlands,71308,47110,Hold,28748,16401,1961,,,,,,,,,,,,,,,,
Tatton,England,North West,67874,49116,Hold,28764,13977,4431,,,,1024,920,,,,,,,,,,,
Taunton Deane,England,South West,85457,63053,Hold,33333,9689,17446,,,1434,1151,,,,,,,,,,,,
Telford,England,West Midlands,68106,44686,Hold,21777,21057,954,,,,898,,,,,,,,,,,,
Tewkesbury,England,South West,81440,59084,Hold,35448,12874,7981,,,1205,1576,,,,,,,,,,,,
The Cotswolds,England,South West,80449,59702,Hold,36201,10702,9748,,,1197,1747,107,,,,,,,,,,,
The Wrekin,England,West Midlands,68604,49523,Hold,27451,17887,1345,,,1656,804,380,,,,,,,,,,,
Thirsk & Malton,England,Yorkshire & Humber,78670,55929,Hold,33572,14571,3859,,,1532,1100,753,542,,,,,,,,,,
Thornbury & Yate,England,South West,67892,50690,Hold,28008,6112,15937,,,,633,,,,,,,,,,,,
Thurrock,England,East of England,78154,50316,Hold,19880,19535,789,,,10112,,,,,,,,,,,,,
Tiverton & Honiton,England,South West,80731,57815,Hold,35471,15670,4639,,,,2035,,,,,,,,,,,,
Tonbridge & Malling,England,South East,77417,56907,Hold,36218,12710,3787,,,1857,2335,,,,,,,,,,,,
Tooting,England,London,77971,58171,Hold,19236,34694,3057,,,339,845,,,,,,,,,,,,
Torbay,England,South West,75931,51174,Hold,27141,9310,12858,,,1213,652,,,,,,,,,,,,
Torfaen,Wales,Wales,61839,38429,Hold,11894,22134,852,,2059,1490,,,,,,,,,,,,,
Torridge & West Devon,England,South West,80524,59480,Hold,33612,12926,10526,,,,1622,794,,,,,,,,,,,
Totnes,England,South West,68914,50270,Hold,26972,13495,6466,,,1240,2097,,,,,,,,,,,,
Tottenham,England,London,72884,49330,Hold,5665,40249,1687,,,462,1267,,,,,,,,,,,,
Truro & Falmouth,England,South West,74683,56647,Hold,25123,21331,8465,,,897,831,,,,,,,,,,,,
Tunbridge Wells,England,South East,74782,54209,Hold,30856,14391,5355,,,1464,1441,,702,,,,,,,,,,
Twickenham,England,London,83362,66290,Gain,25207,6114,34969,,,,,,,,,,,,,,,,
Tynemouth,England,North East,77434,56858,Hold,20729,32395,1724,,,1257,629,124,,,,,,,,,,,
Upper Bann,Northern Ireland,Northern Ireland,80168,51258,,,,,,,,,,,22317,14325,2319,4397,7900,,,,,
Uxbridge & South Ruislip,England,London,69936,46694,Hold,23716,18682,1835,,,1577,884,,,,,,,,,,,,
Vale of Clwyd,Wales,Wales,56890,38684,Gain,17044,19423,666,,1551,,,,,,,,,,,,,,
Vale of Glamorgan,Wales,Wales,73959,53718,Hold,25501,23311,1020,,2295,868,419,,304,,,,,,,,,,
Vauxhall,England,London,82055,55042,Hold,10277,31576,11326,,,,1152,,711,,,,,,,,,,
Wakefield,England,Yorkshire & Humber,70340,46284,Hold,20811,22987,943,,,,,1176,367,,,,,,,,,,
Wallasey,England,North West,67454,48353,Hold,11232,34552,772,,,1160,637,,,,,,,,,,,,
Walsall North,England,West Midlands,67308,38118,Gain,18919,16318,586,,,2295,,,,,,,,,,,,,
Walsall South,England,West Midlands,67417,44876,Hold,25286,16394,587,,,1805,804,,,,,,,,,,,,
Walthamstow,England,London,67957,48050,Hold,6776,38700,1384,,,,1190,,,,,,,,,,,,
Wansbeck,England,North East,62151,42454,Hold,13903,24338,2015,,,1483,715,,,,,,,,,,,,
Wantage,England,South East,85786,63602,Hold,34459,17079,9234,,,1284,1546,,,,,,,,,,,,
Warley,England,West Midlands,63739,40206,Hold,10521,27004,777,,,1349,555,,,,,,,,,,,,
Warrington North,England,North West,71918,48517,Hold,17774,27356,1207,,,1561,619,,,,,,,,,,,,
Warrington South,England,North West,85617,61995,Gain,27445,29994,3339,,,,,1217,,,,,,,,,,,
Warwick & Leamington,England,West Midlands,74237,54055,Gain,24021,25227,2810,,,799,1198,,,,,,,,,,,,
Washington & Sunderland West,England,North East,67280,40574,Hold,11699,24639,961,,,2761,514,,,,,,,,,,,,
Watford,England,East of England,86507,58610,Hold,26731,24639,5335,,,1184,721,,,,,,,,,,,,
Waveney,England,East of England,80763,52674,Hold,28643,19428,1012,,,1933,1332,326,,,,,,,,,,,
Wealden,England,South East,81425,60464,Hold,37027,13399,6281,,,1798,1959,,,,,,,,,,,,
Weaver Vale,England,North West,69016,50613,Gain,22138,26066,1623,,,,786,,,,,,,,,,,,
Wellingborough,England,East Midlands,79254,53240,Hold,30579,18119,1782,,,1804,956,,,,,,,,,,,,
Wells,England,South West,82451,61843,Hold,30488,7129,23906,,,,,,320,,,,,,,,,,
Welwyn Hatfield,England,East of England,72888,51669,Hold,26374,19005,3836,,,1441,835,178,,,,,,,,,,,
Wentworth & Dearne,England,Yorkshire & Humber,74890,43947,Hold,13744,28547,1656,,,,,,,,,,,,,,,,
West Aberdeenshire & Kincardine,Scotland,Scotland,72477,51625,Gain,24704,5706,4461,16754,,,,,,,,,,,,,,,
West Bromwich East,England,West Midlands,63846,39098,Hold,14951,22664,625,,,,533,325,,,,,,,,,,,
West Bromwich West,England,West Midlands,65967,36094,Hold,14329,18789,333,,,2320,323,,,,,,,,,,,,
West Dorset,England,South West,82277,59598,Hold,33081,10896,13990,,,,1631,,,,,,,,,,,,
West Dunbartonshire,Scotland,Scotland,67602,44083,Hold,7582,16602,1009,18890,,,,,,,,,,,,,,,
West Ham,England,London,92418,60708,Hold,9837,46591,1836,,,1134,957,353,,,,,,,,,,,
West Lancashire,England,North West,73257,54389,Hold,20341,32030,1069,,,,680,,269,,,,,,,,,,
West Suffolk,England,East of England,77348,51746,Hold,31649,14586,2180,,,2396,935,,,,,,,,,,,,
West Tyrone,Northern Ireland,Northern Ireland,64009,43486,,,,,,,,427,,,11718,22060,1000,5635,2253,,,,393,
West Worcestershire,England,West Midlands,74375,56471,Hold,34703,13375,5307,,,1481,1605,,,,,,,,,,,,
Westminster North,England,London,63846,43295,Hold,14422,25934,2253,,,,595,91,,,,,,,,,,,
Westmorland & Lonsdale,England,North West,66391,51687,Hold,22909,4783,23686,,,,,309,,,,,,,,,,,
WestonSuperMare,England,South West,82136,56415,Hold,29982,18438,5175,,,1932,888,,,,,,,,,,,,
Wigan,England,North West,75359,47542,Hold,13548,29575,916,,,2750,753,,,,,,,,,,,,
Wimbledon,England,London,66780,51481,Hold,23946,18324,7427,,,553,1231,,,,,,,,,,,,
Winchester,England,South East,72497,57003,Hold,29729,6700,19730,,,695,,,149,,,,,,,,,,
Windsor,England,South East,73595,53921,Hold,34718,12334,5434,,,,1435,,,,,,,,,,,,
Wirral South,England,North West,57670,45195,Hold,17548,25871,1322,,,,454,,,,,,,,,,,,
Wirral West,England,North West,55995,43951,Hold,18501,23866,1155,,,,429,,,,,,,,,,,,
Witham,England,East of England,69137,49241,Hold,31670,13024,2715,,,,1832,,,,,,,,,,,,
Witney,England,South East,82727,60927,Hold,33839,12598,12457,,,980,1053,,,,,,,,,,,,
Woking,England,South East,76170,55246,Hold,29903,13179,9711,,,1161,1092,200,,,,,,,,,,,
Wokingham,England,South East,79111,59690,Hold,33806,15008,9512,,,,1364,,,,,,,,,,,,
Wolverhampton North East,England,West Midlands,60770,36508,Hold,14695,19282,570,,,1479,482,,,,,,,,,,,,
Wolverhampton South East,England,West Midlands,60301,36304,Hold,12623,21137,448,,,1675,421,,,,,,,,,,,,
Wolverhampton South West,England,West Midlands,59971,42336,Hold,18714,20889,784,,,1012,579,358,,,,,,,,,,,
Worcester,England,West Midlands,73893,51405,Hold,24713,22223,1757,,,1354,1211,109,38,,,,,,,,,,
Workington,England,North West,60265,41676,Hold,17392,21317,1133,,,1556,,278,,,,,,,,,,,
Worsley & Eccles South,England,North West,73689,45642,Hold,17667,26046,1087,,,,842,,,,,,,,,,,,
Worthing West,England,South East,77757,54503,Hold,30181,18091,2982,,,1635,1614,,,,,,,,,,,,
Wrexham,Wales,Wales,49881,35082,Hold,15321,17153,855,,1753,,,,,,,,,,,,,,
Wycombe,England,South East,77087,53493,Hold,26766,20188,4147,,,1210,1182,,,,,,,,,,,,
Wyre & Preston North,England,North West,72319,52646,Hold,30684,18438,2551,,,,973,,,,,,,,,,,,
Wyre Forest,England,West Midlands,77758,51129,Hold,29859,16525,1943,,,1777,1025,,,,,,,,,,,,
Wythenshawe & Sale East,England,North West,76361,45846,Hold,13581,28525,1504,,,1475,576,185,,,,,,,,,,,
Yeovil,England,South West,82916,59404,Hold,32369,7418,17646,,,,1052,919,,,,,,,,,,,
Ynys Môn,Wales,Wales,52921,37367,Hold,10384,15643,479,,10237,624,,,,,,,,,,,,,
York Central,England,Yorkshire & Humber,77315,53088,Hold,16019,34594,2475,,,,,,,,,,,,,,,,
York Outer,England,Yorkshire & Humber,75835,57427,Hold,29356,21067,5910,,,,1094,,,,,,,,,,,,
