Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Dundee West,,2001,53760,29242,,,,,,,,,,,2656,,,,,,,,,,,,,,,,,,14787,,,,2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,7987,1192,,,,,,,,,,,,,,,,,,,,,
,Dunfermline East,,2001,52811,30086,,,,,,,,,,,2838,,,,,,,,,,,,,,,,,,19487,,,,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,4424,770,,,,,,,,,,,,,,286,,,,,,,
,Dunfermline West,,2001,54293,30975,,,,,,,,,,,3166,,,,,,,,,,,,,,,,,,16370,,,,4832,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390,746,,,,,,,,,,,,,,471,,,,,,,
,Durham North,,2001,67610,38568,,,,,,,,,,,7237,,,,,,,,,,,,,,,,,,25920,,,,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Durham North West,,2001,67062,39226,,,,,,,,,,,8193,,,,,,,,,,,,,,,,,,24526,,,,5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,,,,,,,,
,"Durham, City of",,2001,69633,41486,,,,,,,,,,,7167,,,,,,,,,,,,,,,,,,23254,,,,9813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,,,,,,,
,Ealing Acton and Shepherd's Bush,,2001,70697,37201,,,,,,,,,,,9355,,,,,,,,,,,,,,,,,,20144,,,,6171,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,529,,301,,,,,,,476,,,,,,,
,Ealing North,,2001,77524,44957,,,,,,,,,,,13185,,,,,,,,1039,,,,,,,,,,25022,,,,5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,,,,,,,
,Ealing Southall,,2001,82373,46828,,,,,5764,,,,,1214,8556,,,,,,,,2119,,1166,,,,,,,,22239,,,,4680,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,921,,,,,,,,,,,,,,
,Easington,,2001,61532,33010,,,,,,,,,,,3411,,,,,,,,,,,,,,,,,,25360,,,,3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831,,,,,,,,,,,,,,
,East Ham,,2001,71255,36833,,,,,,,,,,,6209,,,,,,,,,,,,,,,,,,27241,,,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,,,,,,,,,,,,,,
,East Kilbride,,2001,66572,41690,,,,,,,,,,,4238,,,,,,,,,,,,,,,,,,22205,,,,4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,9450,1519,,,,,,,,,,,,,,,,,,,,,
,East Lothian,,2001,58987,36871,,,,,,,,,,,6577,,,,,,,,,,,,,,,,,,17407,,,,6506,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381,624,,,,,,,376,,,,,,,,,,,,,,
,Eastbourne,,2001,73784,44770,,,,,,,,,,,19738,,,,,,,,,,,,,,,,,,5967,,,574,17584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,,,,,,,
,Eastleigh,,2001,74603,47573,,,,,,,,,,,16302,,,,,,,,636,,,,,,,,,,10426,,,,19360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,,,,,,,
,Eastwood,,2001,68378,48368,,,,,,,,,,,13895,,,,,,,,,,247,,,,,,,,23036,,,,6239,,,,,,,,,,,,,,,,,,,,,,,,,,,,4137,814,,,,,,,,,,,,,,,,,,,,,
,Eccles,,2001,68764,33182,,,,,,,,,,,6867,,,,,,,,,,,,,,,,,,21395,,,,4920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eddisbury,,2001,69181,44387,,,,,,,,,,,20556,,,,,,,,,,,,,,,,,,15988,,,,6975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,,,,,,,
,Edinburgh Central,,2001,66089,34390,,,,,,,,,,,5643,,,,,,,,1809,,,,,,,,,,14495,,,,6353,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832,1258,,,,,,,,,,,,,,,,,,,,,
,Edinburgh East and Musselburgh,,2001,59241,34454,,,,,,,,,,,3906,,,,,,,,,,,,,,,,,,18124,,,,4981,,,,,,,,,,,,,,,,,,,,,,,,,,,,5956,1487,,,,,,,,,,,,,,,,,,,,,
,Edinburgh North and Leith,,2001,62475,33234,,,,,,,,,,,4626,,,,,,,,,,,,,,,,,,15271,,,,6454,,,,,,,,,,,,,,,,,,,,,,,,,,,,5290,1334,,,,,,,259,,,,,,,,,,,,,,
,Edinburgh Pentlands,,2001,59841,38932,,,,,,,,,,,14055,,,,,,,,,,,,,,,,,,15797,,,,4210,,,,,,,,,,,,,,,,,,,,,,,,,,,,4210,555,,,,,,,,,,,,,,105,,,,,,,
,Edinburgh South,,2001,64012,37166,,,,,,,,,,,6172,,,,,,,,,,,,,,,,,,15671,,535,,10172,,,,,,,,,,,,,,,,,,,,,,,,,,,,3683,933,,,,,,,,,,,,,,,,,,,,,
,Edinburgh West,,2001,61895,39478,,,,,,,,,,,8894,,,,,,,,,,,,,,,,,,9130,,,,16719,,,,,,,,,,,,,,,,,,,,,,,,,,,,4047,688,,,,,,,,,,,,,,,,,,,,,
,Edmonton,,2001,62294,34774,,,,,,,,,,,10709,,,,,,,,,,100,,,,,,,,20481,,,,2438,,,,,,,,,,,,,,,,,,,,,,,344,,,,,,,,,,,296,,,,,,,,,406,,,,,,,
,Ellesmere Port and Neston,,2001,68147,41528,,,,,,,,,,,12103,,,,,,,,809,,,,,,,,,,22964,,,,4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,,,,,,,
,Elmet,,2001,70041,45937,,,,,,,,,,,17867,,,,,,,,,,,,,,,,,,22038,,,,5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,,,,,,,
,Eltham,,2001,57519,33792,,,,,,,,,,,10859,,,,,,,,,,251,,,,,,,,17855,,,,4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,,,,,,,
,Enfield North,,2001,67756,38143,,,,605,,,,,,,15597,,,,,,,,,,210,,,,,,,,17888,,,,3355,,,,,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,247,,,,,,,
,Enfield Southgate,,2001,66418,41908,,,,,,,,,,,16181,,,,,,,,662,,105,,,,,,,,21727,,,,2935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,,,,,,
,Epping Forest,,2001,72645,42414,,,,,,,,,,,20833,,,,,,,,,,,,,,,,,,12407,,,,7884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290,,,,,,,
,Epsom and Ewell,,2001,74266,46643,,,,,,,,,,,22430,,,,,,,,,,,,,,,,,,12350,,,,10316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547,,,,,,,
,Erewash,,2001,78484,48596,,,,591,,,,,,,16983,,,,,,,,,,,,,,,,,,23915,,,,5586,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,692,,,,,,,
,Erith and Thamesmead,,2001,66371,33351,,,,,,,,,,,8602,,,,,,,,,,,,,,,,,,19769,,,,3800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,,,,,,,,,,
,Esher and Walton,,2001,73541,45531,,,,,,,,,,,22296,,,,,,,,,,,,,,,,,,10758,,,,10241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2236,,,,,,,
,Essex North,,2001,71680,44944,,,,,,,,,,,21325,,,,,,,,,,,,,,,,,,14139,,,,7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1613,,,,,,,
,Exeter,,2001,81942,52616,,,,,,,,,,,14435,,,,,,,,1240,,,,,,,,,,26194,,,2596,6512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,,,,,,,,,1109,,,,,,,
,Falkirk East,,2001,57633,33702,,,,,,,,,,,3252,,,,,,,,,,,,,,,,,,18536,,,,2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,7824,725,,,,,,,373,,,,,,,,,,,,,,
,Falkirk West,,2001,53583,30891,,,,,,,,,,,2321,,,,,,,,,,1464,,,,,,,,16022,,,,2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,7490,707,,,,,,,194,,,,,,,,,,,,,,
,Falmouth and Camborne,,2001,72833,46820,,,,,,,,,,,14005,,,,,,,,,,,,,,,,,,18532,,,649,11453,,,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328,,,,,,,
,Fareham,,2001,72678,45447,,,,,,,,,,,21389,,,,,,,,,,,,,,,,,,14380,,,,8503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,,,,,,,
,Faversham and Kent Mid,,2001,67995,41051,,,,,,,,,,,18739,,,,,,,,799,,,,,,,,,,14556,,,,5529,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,828,,,,,,,
,Feltham and Heston,,2001,73229,36177,,,,,,,,,,,8749,,,,,,,,,,204,,,,,,,,21406,,,,4998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,,,,,,,,,,,,,,
,Fermanagh and South Tyrone,,2001,66640,51974,,,,,,,,,,,,,,,,,,,,,6843,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17739,9706,,,,,,,,,,17686,,,,,,,,
,Fife Central,,2001,59597,32512,,,,,,,,,,,2351,,,,,,,,,,,,,,,,,,18310,,,,2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,8235,841,,,,,,,,,,,,,,,,,,,,,
,Fife North East,,2001,61900,34692,,,,,,,,,,,8190,,,,,,,,,,,,,,,,,,3950,,420,,17926,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596,610,,,,,,,,,,,,,,,,,,,,,
,Finchley and Golders Green,,2001,76175,43675,,,,,,,,,,,16489,,,,,,,,1385,,,,,,,,,,20205,,,,5266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,
,Folkestone and Hythe,,2001,71503,45855,,,,,,,,,,,20645,,,,,,,,,,,,,,,,,,9260,,,,14738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212,,,,,,,
,Forest of Dean,,2001,66240,44607,,,,,,,,,,,17301,,,,,,,,1254,,279,,,,,,,,19350,,,,5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,,,,,,,
,Foyle,,2001,70943,48879,579,,,,,,,,,,,,,7414,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12988,24538,,,,,,,,,,3360,,,,,,,,
,Fylde,,2001,72207,44737,,,,,,,,,,,23383,,,,,,,,,,,,,,,,,,13773,,,,6599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,,,,,,,
,Gainsborough,,2001,65871,42319,,,,,,,,,,,19555,,,,,,,,,,,,,,,,,,11484,,,,11280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galloway and Upper Nithsdale,,2001,52756,35914,,,,,,,,,,,12222,,,,,,,,,,,,,,,,,,7258,,,,3698,,,,,,,,,,,,,,,,,,,,,,,,,,,,12148,588,,,,,,,,,,,,,,,,,,,,,
,Gateshead East and Washington West,,2001,64041,33615,,,,,,,,,,,4970,,,,,,,,,,,,,,,,,,22903,,,,4999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,,,,,,,
,Gedling,,2001,68540,43816,,,,,,,,,,,16785,,,,,,,,,,,,,,,,,,22383,,,,4648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gillingham,,2001,70898,42212,,,,,,,,,,,16510,,,,,,,,,,,,,,,,,,18782,,,,5755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,933,,,,,,,
,Glasgow Anniesland,,2001,53290,26722,,,,,,,,,,,2651,,,,,,,,,,,,,,,,,,15102,,,,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048,1486,,,,,,,191,,,,,,,,,,,,,,
,Glasgow Baillieston,,2001,49268,23261,,,,,,,,,,,1580,,,,,,,,,,,,,,,,,,14200,,,,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361,1569,,,,,,,,,,,,,,,,,,,,,
,Glasgow Cathcart,,2001,52094,27386,,,,,,,,,,,3662,,,,,,,,,,,,,,,,,,14902,,,,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,4086,1730,,,,,,,,,,,,,,,,,,,,,
,Glasgow Govan,,2001,54068,25284,,,,,,,,,174,,2167,,,,,,,,,,69,,,,,,,,12464,,,,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,,6064,1531,,,,,,,,,,,,,,,,,,,,,
,Glasgow Kelvin,,2001,61534,26802,,,,,,,,,,,2388,,,,,,,,1286,,,,,,,,,,12014,,,,4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513,1847,,,,,,,,,,,,,,,,,,,,,
,Glasgow Maryhill,,2001,55431,22231,,,,,,,,,,,1162,,,,,,,,,,,,,,,,,,13420,,,,2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,3532,1745,,,,,,,,,,,,,,,,,,,,,
,Glasgow Pollok,,2001,49201,25227,,,,,,,,,,,1407,,,,,,,,,,,,,,,,,,15487,,,,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,4219,2512,,,,,,,,,,,,,,,,,,,,,
,Glasgow Rutherglen,,2001,51855,29213,,,,,,,,,,,3301,,,,,,,,,,,,,,,,,,16760,,,,3689,,,,,,,,,,,,,,,,,,,,,,,,,,,,4135,1328,,,,,,,,,,,,,,,,,,,,,
,Glasgow Shettleston,,2001,51557,20465,,,,,,,,,,,1082,,,,,,,,,,,,,,,,,,13235,,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,3417,1396,,,,,,,230,,,,,,,,,,,,,,
,Glasgow Springburn,,2001,55192,24104,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4675,1879,1289,,,,,,,,,16053,,,,,,,,,,,
,Gloucester,,2001,81144,48223,,,,,,,,,,,18187,,,,,,,,,,,,,,,,,,22067,,,,6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,822,,,,,,,
,Gordon,,2001,59996,35001,,,,,,,,,,,8049,,,,,,,,,,,,,,,,,,4730,,,,15928,,,,,,,,,,,,,,,,,,,,,,,,,,,,5760,534,,,,,,,,,,,,,,,,,,,,,
,Gosport,,2001,69626,39789,,,,,,,,,,,17364,,,,,,,,,,,,,,,,,,14743,,,,6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,,,,,,,1162,,,,,,,
,Gower,,2001,58943,37353,,,,,,,,,,,10281,,,,,,,,607,,,,,,,,,,17676,,,,4507,,,,,,,,,,,,,,,,3865,,,,,,,,,,,,,,,,,,,,417,,,,,,,,,,,,,,
,Grantham and Stamford,,2001,74459,46289,,,,,,,,,,,21329,,,,,,,,,,,,,,,,,,16811,,,,6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,,,,,,,
,Gravesham,,2001,69590,43639,,,,,,,,,,,16911,,,,,,,,,,,,,,,,,,21773,,,,4031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,,,,,,,
,Great Grimsby,,2001,63157,33017,,,,,,,,,,,7634,,,,,,,,,,,,,,,,,,19118,,,,6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Yarmouth,,2001,69131,40366,,,,,,,,,,,15780,,,,,,,,,,,,,,,,,,20344,,,,3392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,,,,,,,
,Greenock and Inverclyde,,2001,47884,28419,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,14929,,,,5039,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248,1203,,,,,,,,,,,,,,,,,,,,,
,Greenwich and Woolwich,,2001,62530,32536,,,,,,,,,,,6258,,,,,,,,,,,,,,,,,,19691,,,,5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,352,,,,,,,672,,,,,,,
,Guildford,,2001,76046,47842,,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,6558,,,,20358,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,,,,,,,
,Hackney North and Stoke Newington,,2001,60444,29621,,,,,,,,,,,4430,,,,,,,,2184,,,,,,,,,,18081,,,,4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,,,,,,,,,,,,,,
,Hackney South and Shoreditch,,2001,63990,30347,,,,,,,,,259,,4180,,,,,,,,,,,,,,,,,,19471,,,,4422,,,,,,,,,,,,,,,,,,,,,,,471,,,,,,,,,,,1401,,,,,,,,,,,,,,,,143
,Halesowen and Rowley Regis,,2001,65683,39274,,,,,,,,,,,13445,,,,,,,,,,,,,,,,,,20804,,,,4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,,,,,,,
,Halifax,,2001,69870,40390,,,,,,,,,,,13671,,,,,,,,,,,,,,,,,,19800,,,,5878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,,,,,,,
,Haltemprice and Howden,,2001,67055,43928,,,,,,,,,,,18994,,,,,,,,,,,,,,,,,,6898,,,,17091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,,,,,
,Halton,,2001,63673,34470,,,,,,,,,,,6413,,,,,,,,,,,,,,,,,,23841,,,,4216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hamilton North and Bellshill,,2001,53539,30404,,,,,,,,,,,2649,,,,,,,,,,,,,,,,,,18786,,,,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225,1189,,,,,,,195,,,,,,,,,,,,,,
,Hamilton South,,2001,46665,26750,,,,,,,,,,,1876,,,,,,,,,,,,,,,,,,15965,,,,2381,,,,,,,,,,,,,,,,,,,,,,,,,,,,5190,1187,,,,,,,,,,,,,,151,,,,,,,
,Hammersmith and Fulham,,2001,79302,44700,,,,,,,,,,,17786,,,,,,,,1444,,,,,,,,,,19801,,,,5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375,,,,,,,
,Hampshire East,,2001,78802,50289,,,,,,,,,,,23950,,,,,,,,,,,,,,,,,,9866,,,,15060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,,,,,,,
,Hampshire North East,,2001,71323,43947,,,,,,,,,,,23379,,,,,,,,,,,,,,,,,,8744,,,,10122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702,,,,,,,
,Hampshire North West,,2001,76359,48631,,,,,,,,,,,24374,,,,,,,,,,,,,,,,,,12365,,,,10329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,,,,,,,
,Hampstead and Highgate,,2001,65309,35407,,,,,,,,,,,8725,,,,,,,,1654,,144,,,,,,,,16601,,,,7273,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,559,,,,,,,,,316,,,,,,,
,Harborough,,2001,73300,46427,,,,,,,,,,,20748,,,,,,,,,,,,,,,,,,9271,,,,15496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,,,,,,,
,Harlow,,2001,67074,40115,,,,,,,,,,,13941,,,,,,,,,,,,,,,,,,19169,,,,5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,,,1223,,,,,,,
,Harrogate and Knaresborough,,2001,65185,42179,,,,,,,,,,,14600,,,,,,,,,,,,,,,,,,3101,,,,23445,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,761,,,,,,,
,Harrow East,,2001,81575,48077,,,,,,,,,,,15466,,,,,,,,,,,,,,,,,,26590,,,,6021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harrow West,,2001,73505,46648,,,,,,,,,,,16986,,,,,,,,,,,,,,,,,,23142,,,,5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,
,Hartlepool,,2001,67652,38051,,,,,,,,,,,7935,,,,,,,,,,557,,,,,,,,22506,,,,5717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,,,,,,,,,,,,,,
,Harwich,,2001,77539,48115,,,,,,,,,,,19355,,,,,,,,,,247,,,,,,,,21951,,,,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,,,,,,,
,Hastings and Rye,,2001,70632,41218,,,,,,,,,,,15094,,,,,,,,721,,486,,,,,,,,19402,,,,4266,,,,,198,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,911,,,,,,,
,Havant,,2001,70246,40437,,,,,,,,,,,17769,,,,,,,,793,,244,,,,,,,,13562,,,,7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,,,,,,,
,Hayes and Harlington,,2001,57561,32403,,,,705,,,,,,,7813,,,,,,,,,,,,,,,,,,21279,,,,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,,,,,,,,,,,,,,,
,Hazel Grove,,2001,65107,38478,,,,,,,,,,,11585,,,,,,,,,,,,,,,,,,6230,,,,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,,,,,,,
,Hemel Hempstead,,2001,72086,49619,,,,,,,,,,,17647,,,,,,,,,,,,,,,,,,25175,,,,5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,
,Hemsworth,,2001,67948,35227,,,,,,,,,,,7400,,,,,,,,,,,,,,,,,,23036,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,,,,,,,,,,,,,,
,Hendon,,2001,78212,40851,,,,,,,,,,,14015,,,,,,,,,,,,,,,,,,21432,,,,4724,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,409,,,,,,,164
,Henley,,2001,69081,44401,,,,,,,,,,,20466,,,,,,,,1147,,,,,,,,,,9367,,,,12008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1413,,,,,,,
,Hereford,,2001,70305,44624,,,,,,,,,,,17276,,,,,,,,1181,,,,,,,,,,6739,,,,18244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184,,,,,,,
,Hertford and Stortford,,2001,75141,47176,,,,,,,,,,,21074,,,,,,,,,,,,,,,,,,15471,,,,9388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243,,,,,,,
,Hertfordshire North East,,2001,68790,44645,,,,,,,,,,,19695,,,,,,,,,,,,,,,,,,16251,,,,7686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,,,,,,,
,Hertfordshire South West,,2001,73367,47269,,,,,,,,,,,20933,,,,,,,,,,,,,,,,,,12752,,,,12431,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,
,Hertsmere,,2001,68780,41505,,,,,,,,,,,19855,,,,,,,,,,,,,,,,,,14953,,,,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,
,Hexham,,2001,59807,42413,,,,,,,,,,,18917,,,,,,,,,,,,,,,,,,16388,,,,6380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,
,Heywood and Middleton,,2001,73005,38779,,,,,,345,,,,,10707,,,,,,,,,,,,,,,,,,22377,,,1021,4329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High Peak,,2001,73774,48114,,,,,,,,,,,17941,,,,,,,,,,,,,,,,,,22430,,,,7743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hitchin and Harpenden,,2001,67196,44924,,,,,,,,,,,21271,,,,,,,,,,363,,,,,,,,14608,,,,8076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,,,
,Holborn and St. Pancras,,2001,62813,31129,,,,,,,,,,,5258,,,,,,,,1875,,,,,,,,,,16770,,,,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,,359,,,,,,,301,,,,,,,
,Hornchurch,,2001,61008,35557,,,,,,,,,,,15032,,,,,,,,,,,,,,,,,,16514,,,,2928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,893,,,,,,,
,Hornsey and Wood Green,,2001,75967,44063,,,,,,,,,,,6921,,,,,,,,2228,,,,,,,,,,21967,,,,11353,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,1106,,294,,,,,,,,,,,,,,
,Horsham,,2001,79604,50770,,,,,,,,,,,26134,,,,,,,,,,429,,,,,,,,10267,,,,12468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472,,,,,,,
,Houghton and Washington East,,2001,67946,33641,,,,,,,,,,,4810,,,,,,,,,,,,,,,,,,24628,,,,4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
