Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Gloucester,,1987,76910,60034,17791,12417,29826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gloucestershire West,,1987,77994,63275,17578,,29257,,16440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon,,1987,73479,54125,6228,26770,17251,,,3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gosport,,1987,68113,50938,5053,16081,29804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gower,,1987,58871,47498,22138,,16374,1341,7645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grantham,,1987,79434,59570,12197,12685,33988,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,
,Gravesham,,1987,72759,57714,20099,8724,28891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Grimsby,,1987,68501,51599,23463,,14679,,13457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Great Yarmouth,,1987,65770,48976,15253,,25336,,8387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenock and Port Glasgow,,1987,57756,43561,27848,7793,4199,,,3721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Greenwich,,1987,50830,37315,13008,,8695,,15149,,,,,,,,346,,,,,58,,,,,,,,,59,,,,,,,,,,
,Guildford,,1987,77872,58617,6216,19897,32504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney North and Stoke Newington,,1987,66771,38817,18912,,11234,,7446,,,,,,,,997,,,,,,,228,,,,,,,,,,,,,,,,,
,Hackney South and Shoreditch,,1987,70873,39291,18799,8812,11277,,,,,,,,,,,,,,,403,,,,,,,,,,,,,,,,,,,
,Halesowen and Stourbridge,,1987,78017,61924,17229,,31037,,13658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halifax,,1987,73392,57028,24741,,23529,,8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Halton,,1987,73848,57824,32065,,17487,,8272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hamilton,,1987,62205,47859,28563,6302,6901,,,6093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hammersmith,,1987,48285,35124,15811,5241,13396,,,,,,,,,,453,,,,,,,125,,,,,,,,98,,,,,,,,,
,Hampshire East,,1987,86363,66843,4443,19307,43093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hampshire North West,,1987,69965,54483,4980,18033,31470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hampstead and Highgate,,1987,63301,45266,17015,,19236,,8744,,,,,,,,,,,,,,,,,,,,,,,134,137,,,,,,,,
,Harborough,,1987,74700,59268,7646,16406,35216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harlow,,1987,70286,55072,20140,,26017,,8915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harrogate,,1987,75761,56103,5671,,31167,,19265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harrow East,,1987,81124,59582,14029,13251,32302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harrow West,,1987,74041,55133,9665,,30456,,15012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hartlepool,,1987,68686,50136,24296,7047,17007,,,,,,,,,,,,,1786,,,,,,,,,,,,,,,,,,,,,
,Harwich,,1987,77149,56687,9920,17262,29344,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,
,Hastings and Rye,,1987,72758,52240,6825,18816,26163,,,,,,,,,,,,,194,,,,,,,,,,242,,,,,,,,,,,
,Havant,,1987,76344,56947,8030,,32527,,16017,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,
,Hayes and Harlington,,1987,58240,43386,15390,,21355,,6641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hazel Grove,,1987,65717,53652,6354,22556,24396,,,,,,,,,,346,,,,,,,,,,,,,,,,,,,,,,,,
,Hemsworth,,1987,54951,41586,27859,6568,7159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hendon North,,1987,55095,36237,9223,,20155,,6859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hendon South,,1987,54560,34819,7261,8217,19341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Henley,,1987,65443,49047,6173,12896,29978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hereford,,1987,67075,52348,4031,23452,24865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertford and Stortford,,1987,75508,58694,7494,,33763,,16623,,,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire North,,1987,78694,63840,11782,20308,31750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire South West,,1987,75643,58764,8966,17007,32791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire West,,1987,78966,63913,15317,,31760,,16836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
