Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Blackpool North,,1987,58893,43071,13359,9032,20680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackpool South,,1987,57567,42285,13568,,20312,,8405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaenau Gwent,,1987,56011,43247,32820,3847,4959,1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaydon,,1987,66301,50213,25277,,12147,,12789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blyth Valley,,1987,59104,46178,19604,,7823,,18751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolsover,,1987,65452,50622,28453,,14333,,7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton North East,,1987,59382,46731,19929,,20742,,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton South East,,1987,65932,49362,26791,7161,15410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolton West,,1987,69843,55901,20186,,24779,,10936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boothferry,,1987,75176,56960,12498,12746,31716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootle,,1987,71765,52293,34975,,10498,,6820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bosworth,,1987,77186,62721,10787,17129,34145,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,
,Bournemouth East,,1987,75232,53052,5885,16242,30925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bournemouth West,,1987,74444,54601,7018,,30117,,17466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bow and Poplar,,1987,59178,33945,15746,11115,6810,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,
,Bradford North,,1987,67430,49041,21009,,19376,,8656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bradford South,,1987,69588,51260,21230,,20921,,9109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bradford West,,1987,70763,49656,25775,,18224,,5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Braintree,,1987,76994,60863,11764,,32978,,16121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brecon and Radnor,,1987,49410,41677,12180,14509,14453,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent East,,1987,61020,39352,16772,,15119,,5710,,,,,,,,716,,,,,,,,1035,,,,,,,,,,,,,,,,
,Brent North,,1987,63081,44794,11103,,26823,,6868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent South,,1987,62772,40724,21140,6375,13209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brentford and Isleworth,,1987,71715,54982,18277,,26230,,9626,,,,,,,,849,,,,,,,,,,,,,,,,,,,,,,,,
,Brentwood and Ongar,,1987,67521,53323,7042,13337,32258,,,,,,,,,,686,,,,,,,,,,,,,,,,,,,,,,,,
,Bridgend,,1987,57163,46061,21893,,17513,1065,5590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridgwater,,1987,67480,52753,9594,,27177,,15982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridlington,,1987,80126,59017,10653,,32351,,15030,,,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,
,Brigg and Cleethorpes,,1987,80096,61076,13876,17475,29725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brighton Kemptown,,1987,60271,44882,14771,6080,24031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brighton Pavilion,,1987,58910,43429,12914,,22056,,8459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bristol East,,1987,63840,50222,17783,10247,21906,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,
,Bristol North West,,1987,72876,57839,20001,,26953,,10885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bristol South,,1987,68733,50893,20798,,19394,,9952,,,,,,,,600,,,,,,,149,,,,,,,,,,,,,,,,,
,Bristol West,,1987,72357,54254,11337,16992,24695,,,,,,,,,,1096,,,,,134,,,,,,,,,,,,,,,,,,,
,Bromsgrove,,1987,69494,53080,12366,,29051,,11663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broxbourne,,1987,70631,53123,8984,10572,33567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broxtowe,,1987,71780,56835,13811,12562,30462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buckingham,,1987,70036,54851,9053,13636,32162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burnley,,1987,65956,51964,25140,,17583,,9241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burton,,1987,73252,57536,19330,9046,29160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury North,,1987,67961,56069,21168,6804,28097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury South,,1987,65043,51849,21199,,23878,,6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury St. Edmunds,,1987,76619,56784,9841,,33672,,12214,,,,,,,,1057,,,,,,,,,,,,,,,,,,,,,,,,
,Caernarfon,,1987,45661,35619,5652,2103,7526,20338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caerphilly,,1987,64154,49107,28698,6923,9531,3955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caithness and Sutherland,,1987,31279,23009,3437,,3844,,12338,2371,,,,,,,333,,,,,,,,,,686,,,,,,,,,,,,,,
,Calder Valley,,1987,73398,59500,19847,13761,25892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridge,,1987,69336,54104,15319,,21624,,16564,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire North East,,1987,74231,57429,4891,25555,26983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire South East,,1987,73210,55994,7694,,32901,,15399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cambridgeshire South West,,1987,81658,63427,8434,18371,36622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cannock and Burntwood,,1987,68137,54381,21497,8698,24186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canterbury,,1987,76062,56253,9494,15382,30273,,,,,,,,,,947,,,157,,,,,,,,,,,,,,,,,,,,,
,Cardiff Central,,1987,52980,41093,13255,12062,15241,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff North,,1987,54704,44305,11827,,20061,692,11725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff South and Penarth,,1987,58714,44837,20956,6900,16382,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff West,,1987,57363,44649,20329,,16284,736,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlisle,,1987,55053,43361,18311,,17395,,7655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carmarthen,,1987,65315,54080,19128,,14811,12457,7203,,,,,,,,481,,,,,,,,,,,,,,,,,,,,,,,,
,"Carrick, Cumnock and Doon Valley",,1987,56360,42736,25669,,8867,,4106,4094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carshalton and Wallington,,1987,69120,51842,9440,,27984,,13575,,,,,,,,843,,,,,,,,,,,,,,,,,,,,,,,,
,Castle Point,,1987,66514,49536,9422,,29681,,10433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceredigion and Pembroke North,,1987,63141,48300,8965,17683,12983,7848,,,,,,,,,821,,,,,,,,,,,,,,,,,,,,,,,,
,Cheadle,,1987,68332,55374,5037,19853,30484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chelmsford,,1987,82564,67829,4642,27470,35231,,,,,,,,,,486,,,,,,,,,,,,,,,,,,,,,,,,
,Chelsea,,1987,49534,28560,4406,5124,18443,,,,,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,
,Cheltenham,,1987,79234,62547,4701,26475,31371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chertsey and Walton,,1987,71448,53954,7185,,32119,,14650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chesham and Amersham,,1987,71751,55498,5170,15064,34504,,,,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,
,"Chester, City of",,1987,65845,52571,18727,10262,23582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chesterfield,,1987,70357,53959,24532,15955,13472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chichester,,1987,81019,60318,4751,17097,37274,,,,,,,,,,1196,,,,,,,,,,,,,,,,,,,,,,,,
,Chingford,,1987,56797,43549,6650,9155,27110,,,,,,,,,,634,,,,,,,,,,,,,,,,,,,,,,,,
,Chipping Barnet,,1987,60876,42616,8115,9815,24686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chislehurst,,1987,55535,41938,8115,9658,24165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chorley,,1987,78541,60393,20958,9706,29015,,,,,,,,,,714,,,,,,,,,,,,,,,,,,,,,,,,
,Christchurch,,1987,70964,54112,5174,,35656,,13282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cirencester and Tewkesbury,,1987,84071,65507,5342,23610,36272,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,
,City of London and Westminster South,,1987,57428,33445,6821,,19333,,7291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clackmannan,,1987,49083,37814,20317,,5620,,3961,7916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clwyd North West,,1987,66118,49696,12335,11279,24116,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clwyd South West,,1987,58106,47139,16701,,15673,3987,10778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clydebank and Milngavie,,1987,50152,39578,22528,,6224,,5891,4935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clydesdale,,1987,61620,48184,21826,,11324,,7909,7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colchester North,,1987,82420,62639,10768,,32747,,19124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colchester South and Maldon,,1987,84392,63534,9229,,34894,,19411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colne Valley,,1987,70199,56204,16353,18780,20457,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,
,Congleton,,1987,68172,54867,9810,18544,26513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conwy,,1987,52294,40662,9049,12706,15730,3177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Copeland,,1987,54695,44475,20999,,19105,,4052,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,
,Corby,,1987,66119,52646,21518,7805,23323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornwall North,,1987,72375,57761,3719,24180,29862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cornwall South East,,1987,70248,55876,4847,22211,28818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coventry North East,,1987,67479,47609,25832,7502,13965,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,,,,,,
,Coventry North West,,1987,53090,39692,19450,,13787,,6455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coventry South East,,1987,51880,37859,17969,,11316,,8095,,,,,,,,479,,,,,,,,,,,,,,,,,,,,,,,,
,Coventry South West,,1987,65567,51592,19108,10166,22318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crawley,,1987,76637,59054,17121,,29259,,12674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crewe and Nantwich,,1987,72948,57844,25457,,24365,,8022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crosby,,1987,83914,66823,11992,,30842,,23989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon Central,,1987,55410,39084,9516,,22133,,7435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon North East,,1987,63129,43985,11669,,,,8128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24188
,Croydon North West,,1987,57369,39705,14677,6363,18665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Croydon South,,1987,65085,47980,4679,11669,30732,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,,,
,Cumbernauld and Kilsyth,,1987,45427,35653,21385,,3227,,4059,6982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cunninghame North,,1987,54817,42871,19016,,14594,,5185,4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cunninghame South,,1987,49842,37364,22728,4426,6095,,,4115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cynon Valley,,1987,49621,38060,26222,,4638,2549,4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dagenham,,1987,61714,41527,18454,,15985,,7088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Darlington,,1987,65940,53290,22170,6289,24831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dartford,,1987,72632,57371,15756,,30685,,10439,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,
,Daventry,,1987,69241,54113,11097,11663,31353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davyhulme,,1987,65558,50704,15434,11637,23633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delyn,,1987,63915,52484,20504,8913,21728,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denton and Reddish,,1987,69533,52493,26023,,17773,,8697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derby North,,1987,71738,54311,20236,7268,26516,,,,,,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,
,Derby South,,1987,68825,48098,21003,,19487,,7608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire North East,,1987,70314,55759,24747,,21027,,9985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire South,,1987,80045,65052,21616,,31927,,11509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire West,,1987,70782,58796,6875,20697,31224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devizes,,1987,86047,66401,11487,18542,36372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devon North,,1987,67474,55140,3467,23602,28071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Devon West and Torridge,,1987,74550,58658,4990,23016,29484,,,,,,,,,,1168,,,,,,,,,,,,,,,,,,,,,,,,
,Dewsbury,,1987,70836,55798,23668,,23223,,8907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don Valley,,1987,74500,54960,29200,8027,17733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doncaster Central,,1987,69699,51340,26266,,18070,,7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doncaster North,,1987,72986,53362,32953,,13015,,7394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dorset North,,1987,72844,57620,3819,20947,32854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dorset South,,1987,72855,55039,9494,15117,30184,,,,,,,,,,,,,244,,,,,,,,,,,,,,,,,,,,,
,Dorset West,,1987,64360,50369,6123,15941,28305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover,,1987,68997,55087,18802,,25343,,10942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Down North,,1987,65018,40819,0,,,,,,,7932,,,,,,,,,,,,,,,,18420,14467,,,,,,,,,,,,
,Down South,,1987,71235,56534,0,,,,,,25848,1069,675,,26579,2363,,,,,,,,,,,,,,,,,,,,,,,,,
,Dudley East,,1987,75206,54376,24942,,21469,,7965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dudley West,,1987,81789,64681,21980,10477,32224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dulwich,,1987,56355,39042,16383,,16563,,5664,,,,,,,,432,,,,,,,,,,,,,,,,,,,,,,,,
,Dumbarton,,1987,58968,45958,19778,,14556,,6060,5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dumfries,,1987,59347,44881,11292,,18785,,8064,6391,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,
,Dundee East,,1987,60805,46144,19539,2143,5938,,,18524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dundee West,,1987,61926,46700,24916,,8390,,5922,7164,,,,,,,,,,,,308,,,,,,,,,,,,,,,,,,,
,Dunfermline East,,1987,51175,39196,25381,4122,5792,,,3901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dunfermline West,,1987,51063,39307,18493,,9091,,8288,3435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Durham North,,1987,72115,54765,30798,,11602,,12365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Durham North West,,1987,61302,45081,22947,9349,12785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Durham, City of",,1987,66567,52047,23382,,11408,,17257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ealing Acton,,1987,67176,47738,13266,,25499,,8973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ealing North,,1987,71634,53820,14947,8149,30147,,,,,,,,,,577,,,,,,,,,,,,,,,,,,,,,,,,
,Ealing Southall,,1987,74843,52186,26480,6947,18503,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,
,Easington,,1987,64863,47600,32396,7447,7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Kilbride,,1987,63097,49977,24491,,7344,,11867,6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Lothian,,1987,65046,51168,24583,7929,14478,,,3727,,,,,,,451,,,,,,,,,,,,,,,,,,,,,,,,
,Eastbourne,,1987,74144,56046,4928,16664,33587,,,,,,,,,,867,,,,,,,,,,,,,,,,,,,,,,,,
,Eastleigh,,1987,87552,69412,11599,22229,35584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eastwood,,1987,61872,49100,12305,,19388,,13374,4033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eccles,,1987,66961,49917,25346,,15647,,8924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eddisbury,,1987,73894,57663,13574,13639,29474,,,,,,,,,,976,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh Central,,1987,59529,41072,16502,7333,14240,,,2559,,,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh East,,1987,48895,36245,18257,5592,8962,,,3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh Leith,,1987,60359,42769,21104,,9777,,7843,4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh Pentlands,,1987,58125,45147,13533,,17278,,11072,3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh South,,1987,63842,48358,18211,,16352,,10900,2455,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,
,Edinburgh West,,1987,62214,49397,10957,17216,18450,,,2774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edmonton,,1987,66080,47941,17270,,24556,,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ellesmere Port and Neston,,1987,71344,57803,23811,,25664,,8143,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,
,Elmet,,1987,69024,54715,20302,,25658,,8755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eltham,,1987,54063,41586,13292,8542,19752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enfield North,,1987,69488,51778,14743,,28758,,7633,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,
,Enfield Southgate,,1987,66600,48355,9114,10100,28445,,,,,,,,,,696,,,,,,,,,,,,,,,,,,,,,,,,
,Epping Forest,,1987,67804,51753,9499,,31536,,10023,,,,,,,,695,,,,,,,,,,,,,,,,,,,,,,,,
,Epsom and Ewell,,1987,70682,53280,7751,12384,33145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erewash,,1987,76545,59238,19021,,28775,,11442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erith and Crayford,,1987,59292,44712,13209,,20203,,11300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Esher,,1987,62117,47797,4197,12266,31334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exeter,,1987,75208,60637,13643,,26922,,19266,,,,,,,,597,,,209,,,,,,,,,,,,,,,,,,,,,
,Falkirk East,,1987,52564,39415,21379,,7356,,4624,6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Falkirk West,,1987,50222,38497,20256,4841,6704,,,6696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Falmouth and Camborne,,1987,68612,54055,11271,,23725,,18686,,,,,,,,,,,,,,,,,,,,,373,,,,,,,,,,,
,Fareham,,1987,76794,60218,5451,17986,36781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faversham,,1987,79039,60786,12616,,31074,,17096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feltham and Heston,,1987,81062,59703,22325,,27755,,9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fermanagh and South Tyrone,,1987,68979,55375,0,,,,,,27446,941,1784,,10581,14623,,,,,,,,,,,,,,,,,,,,,,,,,
,Fife Central,,1987,56090,42728,22827,6487,7118,,,6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fife North East,,1987,52266,39852,2947,17868,16421,,,2616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finchley,,1987,57727,40063,12690,5580,21603,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,
,Folkestone and Hythe,,1987,64406,50424,3720,18789,27915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foyle,,1987,70519,48631,0,,,,,,,1276,1022,13883,23743,8707,,,,,,,,,,,,,,,,,,,,,,,,,
,Fulham,,1987,54498,42012,15430,,21752,,4365,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,
,Fylde,,1987,63246,48706,6955,11787,29559,,,,,,,,,,,,,405,,,,,,,,,,,,,,,,,,,,,
,Gainsborough and Horncastle,,1987,69760,53675,6156,18898,28621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galloway and Upper Nithsdale,,1987,53429,41040,5298,6001,16592,,,12919,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,
,Gateshead East,,1987,67953,48793,28895,,11667,,8231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gedling,,1987,68398,54129,12953,,29492,,11684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gillingham,,1987,71742,54103,9230,16162,28711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glanford and Scunthorpe,,1987,72816,56820,24733,,24221,,7762,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,
,Glasgow Cathcart,,1987,49307,37648,19623,,8420,,5722,3883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Central,,1987,51137,33533,21619,3528,4366,,,3339,,,,,,,290,,,,,265,,126,,,,,,,,,,,,,,,,,
,Glasgow Garscadden,,1987,47958,34250,23178,,3660,,3211,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Govan,,1987,50616,37132,24071,,4411,,4562,3851,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,,
,Glasgow Hillhead,,1987,57836,41869,17958,,6048,,14707,2713,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Maryhill,,1987,52371,35341,23482,4118,3307,,,3895,,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Pollok,,1987,51396,36830,23239,4445,5256,,,3528,,,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Provan,,1987,43744,30217,22032,,2336,,2189,3660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Rutherglen,,1987,57313,44257,24790,10795,5088,,,3584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Shettleston,,1987,53604,37750,23991,3942,5010,,,4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow Springburn,,1987,51563,34787,25617,2746,2870,,,3554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
