Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Tayside North,,1992,55970,43456,3094,20283,3791,,,16288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Teignbridge,,1992,75798,62489,8128,31274,22416,,,,,234,,,,,,,,,,,,,,,,,,437,,,,,,,,,,,,,,,,,,,,,,,
,Thanet North,,1992,70977,53960,12657,30867,9563,,,,,,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thanet South,,1992,62440,48812,13740,25253,8948,,,,,,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thurrock,,1992,69211,54063,24791,23619,5145,,391,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tiverton,,1992,70742,58941,5950,30376,19287,,,,2225,96,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tonbridge and Malling,,1992,77257,63892,11533,36542,14984,,,,,221,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tooting,,1992,68307,51088,24601,20494,3776,,,,1340,119,694,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,
,Torbay,,1992,71184,57389,5503,28624,22837,,,,,157,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,
,Torfaen,,1992,61103,47338,30352,9598,6178,,,,,,,,,,,,,,,,,,,,,,,,1210,,,,,,,,,,,,,,,,,,,,,,
,Tottenham,,1992,68404,44823,25309,13341,5120,,,,,150,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Truro,,1992,75119,61853,6078,23660,31230,,,,208,108,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tunbridge Wells,,1992,76807,59995,8300,34162,17030,,236,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tweeddale, Ettrick and Lauderdale",,1992,39478,30821,3328,9776,12296,,,5244,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Twickenham,,1992,63152,53156,4919,26804,21093,,,,85,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,
,Tyne Bridge,,1992,53080,33250,22328,7118,3804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tynemouth,,1992,74956,60263,27134,27731,4855,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulster Mid,,1992,69138,54763,0,,,,1996,,,164,,,23181,1506,16994,10248,,,,,285,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Upminster,,1992,64125,51609,14970,28791,7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Upper Bann,,1992,67460,45479,0,1556,,,,,,,,26824,,2541,10661,2777,,,,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Uxbridge,,1992,61604,48703,14308,27487,5900,,,,,120,538,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vale of Glamorgan,,1992,66673,54626,24201,24220,5045,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vauxhall,,1992,62595,38957,21328,10840,5678,,156,,,,803,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,
,Wakefield,,1992,69825,53238,26964,20374,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallasey,,1992,65670,54215,26531,22722,4177,,,,,105,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wallsend,,1992,77941,57777,33439,13969,10369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walsall North,,1992,69605,52193,24387,20563,6629,,,,,,,,,,,,,,,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,
,Walsall South,,1992,65643,50060,24133,20955,4132,,,,,167,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walthamstow,,1992,49347,35551,16251,13229,5142,,,,241,94,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wansbeck,,1992,63502,50319,30046,11872,7691,,,,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wansdyke,,1992,77245,65071,18048,31389,14834,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wanstead and Woodford,,1992,55867,43700,9319,26204,7362,,,,,178,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wantage,,1992,68329,56499,10955,30575,14102,,,,,,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warley,,1992,51725,37096,19891,12097,4547,,,,,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warley West,,1992,57158,42245,21386,15914,4945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warrington North,,1992,78654,60781,33019,20397,6965,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warrington South,,1992,77693,63746,27819,27628,7978,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warwick and Leamington,,1992,71260,58106,19158,28093,9645,,251,,,156,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Warwickshire North,,1992,71473,59911,27599,26145,6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watford,,1992,72291,59527,19482,29072,10231,,,,,176,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waveney,,1992,84181,68873,26472,33174,8925,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wealden,,1992,74558,60358,5579,37263,16332,,,,,182,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wellingborough,,1992,73876,60502,20486,32302,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wells,,1992,69833,57759,6126,28620,21971,,,,,,1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welwyn Hatfield,,1992,72236,60889,20982,29447,10196,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wentworth,,1992,64915,48058,32939,10490,4629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Bromwich East,,1992,56945,43120,19913,17100,5630,,,,,,,,,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,,,
,West Bromwich West,,1992,57666,40597,,14421,3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22251
,Westbury,,1992,87537,72488,9642,36568,23950,,,,1440,,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Isles,,1992,22785,16030,7664,1362,552,,491,5961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westminster North,,1992,59405,44585,18095,21828,3349,,,,,159,1017,,,,,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westmorland and Lonsdale,,1992,71864,55883,8436,31798,15362,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weston-super-Mare,,1992,78843,62877,6913,30022,24680,,,,,,1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wigan,,1992,72741,55402,34910,13068,6111,,,,1116,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wiltshire North,,1992,85852,70151,6945,39028,22640,,66,,622,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wimbledon,,1992,61966,49681,11570,26331,10569,,170,,,181,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Winchester,,1992,79432,66117,4917,33113,24992,,,,,,,,,,,,,,3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Windsor and Maidenhead,,1992,77427,63161,4975,35075,22147,,110,,,108,510,,,,,,,,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,
,Wirral South,,1992,61135,50344,17407,25590,6581,,,,,182,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wirral West,,1992,62471,50948,15788,26852,7420,,,,,188,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Witney,,1992,78541,64306,13688,36256,13393,,,,,134,716,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woking,,1992,80814,64028,8080,37744,17902,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wokingham,,1992,86545,70810,8846,43497,17788,,148,,,,,,,,,,,,,,,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,
,Wolverhampton North East,,1992,62701,48906,24106,20167,3546,,,,1087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wolverhampton South East,,1992,56170,40921,23215,12975,3881,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wolverhampton South West,,1992,67368,52679,21003,25969,4470,,,,1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woodspring,,1992,77532,64520,9942,35175,17666,,,,836,100,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Woolwich,,1992,55977,39695,17551,6598,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15326,
,Worcester,,1992,74201,60110,21731,27883,9561,,343,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worcestershire Mid,,1992,84290,68323,24094,33964,9745,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worcestershire South,,1992,80157,64338,9727,34792,18641,,,,,,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Workington,,1992,57608,46955,26719,16270,3028,,,,,183,,,,,,,,,,,,,,,,,,755,,,,,,,,,,,,,,,,,,,,,,,
,Worsley,,1992,72244,56167,29418,19406,6490,,,,,176,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Worthing West,,1992,77550,60027,6679,34198,17665,,,,679,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Wrekin, The",,1992,90893,70122,33865,27217,8032,,,,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wrexham,,1992,63729,51433,24830,18114,7074,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wycombe,,1992,72565,56611,12222,30081,13005,,,,,168,686,,,,,,,,,,,,,,,,,,,,,449,,,,,,,,,,,,,,,,,,,
,Wyre,,1992,67778,53914,17785,29449,6420,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wyre Forest,,1992,73602,60583,18642,28983,12958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yeovil,,1992,73060,59895,5765,22125,30958,,70,,,,639,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,
,Ynys Môn,,1992,53412,43061,10126,14878,1891,15984,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,York,,1992,79242,64167,31525,25183,6811,,,,,54,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
