Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Hartlepool,,1992,67969,51710,26816,18034,6860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harwich,,1992,80261,62369,14511,32369,15210,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hastings and Rye,,1992,71839,53778,8458,25573,18939,,,,,,640,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,
,Havant,,1992,74245,58643,10968,32233,14649,,,,,,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hayes and Harlington,,1992,55024,43397,19436,19489,4472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hazel Grove,,1992,64300,54623,6390,24479,23550,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hemsworth,,1992,55696,42268,29942,7867,4459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hendon North,,1992,51514,38677,13447,20569,4136,,,,,95,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hendon South,,1992,48401,35037,8546,20593,5609,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Henley,,1992,64698,51659,7676,30835,12443,,431,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hereford,,1992,69686,56642,6005,26727,23314,,,,,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertford and Stortford,,1992,76655,62127,10125,35716,15506,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire North,,1992,80086,67615,16449,33679,17148,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire South West,,1992,70913,59336,11512,33825,13718,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertfordshire West,,1992,78554,64718,19400,33340,10464,,,,,175,674,,,,,,,,,,,,,,,665,,,,,,,,,,,,,,,,,,,,,,,,,
,Hertsmere,,1992,69952,56585,13398,32133,10681,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hexham,,1992,57812,47621,11529,24967,10344,,,,,,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heywood and Middleton,,1992,57177,42829,22380,14306,5252,,,,757,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,High Peak,,1992,70793,59912,22719,27538,8861,,,,,,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Holborn and St. Pancras,,1992,64794,40617,22243,11419,5476,,133,,,212,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,,
,Holland with Boston,,1992,67900,52921,15328,29159,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honiton,,1992,79224,63969,8142,33533,17022,,,,1005,,650,,,,,,1442,,2175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
