Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Hornchurch,,1997,60775,43941,,,,,16386,,,,,259,22066,,3446,,,,,,,189,,,,1595,,,,,,,,,,,,
,Hornsey and Wood Green,,1997,74537,51487,,,,,11293,,,1214,,,31792,,5794,,,,,,,,,,,808,,,,,,586,,,,,,
,Horsham,,1997,75432,57165,,,,,29015,,,,,206,10691,,14153,,,,,,,,,,,2281,,,,,,,,,819,,,
,Houghton and Washington East,,1997,67343,41823,,,,,5391,,,,,,31946,,3209,,,,,,,,,,,1277,,,,,,,,,,,,
,Hove,,1997,69016,48121,,,,,17499,,,644,,1735,21458,,4645,,,,,,,,,,,1931,,,,,,,,,209,,,
,Huddersfield,,1997,65824,44554,,,,,9323,,,938,,,25171,,7642,,,,,,,,,,,1480,,,,,,,,,,,,
,Hull East,,1997,68733,40486,,,,,5552,,,,,,28870,,3965,,,,,,121,190,,,,1788,,,,,,,,,,,,
,Hull North,,1997,68106,38794,,,,,5837,,,,,,25542,,5667,,,,,,215,,,,,1533,,,,,,,,,,,,
,Hull West and Hessle,,1997,65840,38354,,,,,6933,,,,,,22520,,6995,,,,,,310,,,,,1596,,,,,,,,,,,,
,Huntingdon,,1997,76094,56963,,,177,,31501,,,,,89,13361,,8390,,,,,,,,,,,3114,,,,,,,,,331,,,
,Hyndburn,,1997,66806,48272,,,,,15383,,,,,290,26831,,4141,,,,,,,,,,,1627,,,,,,,,,,,,
,Ilford North,,1997,68218,48850,,755,,,19911,,,,,,23135,,5049,,,,,,,,,,,,,,,,,,,,,,,
,Ilford South,,1997,72104,50019,,580,,,15073,,,,,,29273,,3152,,,,,,,,,,,1073,,,,,,868,,,,,,
,"Inverness East, Nairn and Lochaber",,1997,65701,47768,,,,,8355,,,354,,224,16187,,8364,,,,,,,,,,,436,13848,,,,,,,,,,,
,Ipswich,,1997,66947,48365,,,,,15048,,,,,,25484,,5881,,,,,,107,,,,,1637,,,,,,,,,208,,,
,Isle of Wight,,1997,101680,73159,,,,,24868,,,544,,848,9646,,31274,,,,,,87,,,,86,4734,,,,,,,,,1072,,,
,Islington North,,1997,57385,35860,,,,,4631,,,1516,,,24834,,4879,,,,,,,,,,,,,,,,,,,,,,,
