Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Aberavon,,1997,50025,35963,,,,,2835,,,,,341,25650,,4079,,,,,,,,2088,,,970,,,,,,,,,,,,
,Aberdeen Central,,1997,54257,35616,,,,,6944,,,,,,17745,,4714,,,,,,,,,,,446,5767,,,,,,,,,,,
,Aberdeen North,,1997,54302,38415,,,,,5763,,,,,,18389,,5421,,,,,,,,,,,463,8379,,,,,,,,,,,
,Aberdeen South,,1997,60490,44062,,,,,11621,,,,,,15541,,12176,,,,,,,,,,,425,4299,,,,,,,,,,,
,Aberdeenshire West and Kincardine,,1997,59123,43202,,,,,15080,,,,,,3923,,17742,,,,,,,,,,,808,5649,,,,,,,,,,,
,Airdrie and Shotts,,1997,57673,41181,,,,,3660,,,,,,25460,,1719,,,,,,,,,,,294,10048,,,,,,,,,,,
,Aldershot,,1997,76189,54151,,322,,,23119,,,,,361,13057,,16498,,,,,,,,,,,,,,,,,,,,794,,,
,Aldridge-Brownhills,,1997,62441,46370,,,,,21856,,,,,,19330,,5184,,,,,,,,,,,,,,,,,,,,,,,
,Altrincham and Sale West,,1997,70625,51782,,,,,22348,,,,,,20843,,6535,,,,,,125,313,,,,1348,,,,,,,,,270,,,
,Alyn and Deeside,,1997,58091,41948,,,,,9552,,,,,,25955,,4076,,,,,,,,738,,,1627,,,,,,,,,,,,
,Amber Valley,,1997,72005,54775,,,,,18330,,,,,,29943,,4219,,,,,,,,,,,2283,,,,,,,,,,,,
,Angus,,1997,59708,43076,,,,,10603,,,,,,6733,,4065,,,,,,,,,,,883,20792,,,,,,,,,,,
,Antrim East,,1997,58963,34347,6929,,,,2334,6682,,,,1145,0,,,,,,,,69,,,1751,,,,,543,1576,,,,13318,,,,
,Antrim North,,1997,72411,46186,2845,,,,,21495,,,,580,0,,,,,,,,116,,,,,,,,2896,7333,,,,10921,,,,
,Antrim South,,1997,69414,40195,4668,,,,,,,,,,0,,,,,,,,203,,,3490,,,,,2229,6497,,,,23108,,,,
,Argyll and Bute,,1997,49451,35720,,,,,6774,,,,,,5596,,14359,,,,,,,,,,,713,8278,,,,,,,,,,,
,Arundel and South Downs,,1997,67641,51337,,,,,27251,,,,,,9376,,13216,,,,,,,,,,,,,,,,,,,,1494,,,
,Ashfield,,1997,72269,50603,,595,,,10251,,,,,,32979,,4882,,,,,,,,,,,1896,,,,,,,,,,,,
,Ashford,,1997,74149,55294,,,,,22899,,,660,,,17544,,10901,,,,,,89,,,,,3201,,,,,,,,,,,,
,Ashton-under-Lyne,,1997,72206,47280,,,,,8954,,,,,,31919,,4603,,,458,,,,,,,,1346,,,,,,,,,,,,
,Aylesbury,,1997,79047,57554,,,,,25426,,,,,,12759,,17007,,,,,,166,,,,,2196,,,,,,,,,,,,
,Ayr,,1997,55829,44756,,,,,15136,,,,,,21679,,2116,,,,,,,,,,,200,5625,,,,,,,,,,,
,Banbury,,1997,77456,58446,,,,,25076,,,530,,,20339,,9761,,,,,,131,,,,,2245,,,,,,,,,364,,,
,Banff and Buchan,,1997,58493,40178,,,,,9564,,,,,,4747,,2398,,,,,,,,,,,1060,22409,,,,,,,,,,,
,Barking,,1997,53682,32964,,894,,,5802,,,,,,21698,,3128,,,,,,,159,,,,1283,,,,,,,,,,,,
,Barnsley Central,,1997,61133,36485,,,,,3589,,,,,,28090,,3481,,,,,,,,,,,1325,,,,,,,,,,,,
,Barnsley East and Mexborough,,1997,67840,43335,,,,,4936,,,,,201,31699,,4489,,,,,,,,,,,797,,,,,,1213,,,,,,
,Barnsley West and Penistone,,1997,64894,42208,,,,,7750,,,,,,25017,,7613,,,,,,,,,,,1828,,,,,,,,,,,,
,Barrow and Furness,,1997,66960,48230,,,,,13133,,,,,1995,27630,,4264,,,,,,,,,,,1208,,,,,,,,,,,,
,Basildon,,1997,73989,53082,,,,,16366,,,,,,29646,,4608,,,,,,,,,,,2462,,,,,,,,,,,,
,Basingstoke,,1997,77035,57129,,,,,24751,,,,,310,22354,,9714,,,,,,,,,,,,,,,,,,,,,,,
,Bassetlaw,,1997,68101,48001,,,,,11950,,,,,,29298,,4915,,,,,,,,,,,1838,,,,,,,,,,,,
,Bath,,1997,70815,53989,,,,,16850,,,580,,,8828,,26169,,,,,,55,,,,,1192,,,,,,,,,315,,,
,Batley and Spen,,1997,64209,46965,,472,,,17072,,,384,,,23213,,4133,,,,,,,,,,,1691,,,,,,,,,,,,
,Battersea,,1997,66928,47397,,,,,18687,,,,,,24047,,3482,,,,,,,,,,127,804,,,,,,,,,250,,,
,Beaconsfield,,1997,68959,50201,,,,,24709,,,,,1434,10063,,10722,,,,,,193,286,,,,2197,,,,,,,,,451,,,
,Beckenham,,1997,72807,54350,,,,,23084,,,,,,18131,720,9858,,,,,388,,,,,,1663,,,,,,,,,506,,,
,Bedford,,1997,66560,48944,,,,,16474,,,,,,24774,,6044,,,,,,149,,,,,1503,,,,,,,,,,,,
,Bedfordshire Mid,,1997,66979,52516,,,,,24176,,,,,,17086,,8823,,,,,,174,,,,,2257,,,,,,,,,,,,
,Bedfordshire South West,,1997,69781,52864,,,,,21534,,,,,,21402,,7559,,,,,,162,,,,,1761,,,,,,,,,446,,,
,Belfast East,,1997,61744,39029,9288,,,,928,16640,,,,541,0,,,,,,,,70,,,,,,,,810,629,,,,9886,,,237,
,Belfast North,,1997,64577,41452,2221,,,,,,,539,,,0,,,,,,,,88,,,,,,,,8375,8454,,,,21478,,,297,
,Belfast South,,1997,63439,39484,5112,,,,962,,,,,1204,0,,,,,,,,120,,,5687,,,,,2019,9601,,,,14201,,,286,
,Belfast West,,1997,61785,45885,,,,,,,,,,102,0,,,,,,,,91,,,,,,,,25662,17753,,,,1556,,,721,
,Berwick upon Tweed,,1997,56428,41803,,,,,10056,,,,,,10965,,19007,,,,,,,,,,,1423,,,,,,,,,352,,,
,Bethnal Green and Bow,,1997,73008,44682,,3350,,,9412,,,812,,1117,20697,2963,5361,,,,,,,,,,,557,,,,,,413,,,,,,
,Beverley and Holderness,,1997,71916,52542,,,,,21629,,,,,,20418,,9689,,,,,,111,,,,,,,,,,,,,,695,,,
,Bexhill and Battle,,1997,65584,48994,,,,,23570,,,,,,8866,,12470,,,,,,,,,,,3302,,,,,,,,,786,,,
,Bexleyheath and Crayford,,1997,63334,48223,,429,,,18527,,,,,,21942,,5391,,,,,,,,,,,1551,,,,,,,,,383,,,
,Billericay,,1997,76550,55420,,,,,22033,,,,,3377,20677,,8763,,,,,,,570,,,,,,,,,,,,,,,,
,Birkenhead,,1997,59782,39323,,,,,5982,,,,,,27825,,3548,,,,,,,,,,,800,,,,,,1168,,,,,,
,Birmingham Edgbaston,,1997,70204,48465,,443,,,18712,,,,,,23554,,4691,,,,,,,,,,,1065,,,,,,,,,,,,
,Birmingham Erdington,,1997,66380,40407,,,,,11107,,,,,,23764,,4112,,,,,,,,,,,1424,,,,,,,,,,,,
,Birmingham Hall Green,,1997,58767,41819,,,,,13952,,,,,,22372,,4034,,,,,,,,,,,1461,,,,,,,,,,,,
,Birmingham Hodge Hill,,1997,56066,34147,,,,,8198,,,,,,22398,,2891,,,,,,,,,,,,,,,,,,,,660,,,
,Birmingham Ladywood,,1997,70013,37977,,,,,5052,,,,,,28134,,3020,,,,685,,,,,,,1086,,,,,,,,,,,,
,Birmingham Northfield,,1997,56842,38847,,337,,,10873,,,,,,22316,,4078,,,,,,,,,,,1243,,,,,,,,,,,,
,Birmingham Perry Barr,,1997,71031,45887,,544,,,9964,,,,,374,28921,718,4523,,,,,,,,,,,843,,,,,,,,,,,,
,Birmingham Selly Oak,,1997,72049,50550,,,,,14033,,,,,,28121,,6121,,,253,,,85,417,,,,1520,,,,,,,,,,,,
,Birmingham Yardley,,1997,53058,37787,,,,,6736,,,,,,17778,,12463,,,,,,,,,,,646,,,,,,,,,164,,,
,Bishop Auckland,,1997,66754,46051,,,,,9295,,,,,,30359,,4293,,,,,,,,,,,2104,,,,,,,,,,,,
,Blaby,,1997,70471,53593,,523,,,24564,,,,,397,18090,,8001,,,,,,,,,,,2018,,,,,,,,,,,,
,Blackburn,,1997,73058,47495,,,,,11690,,,608,,506,26141,,4990,,,,671,,,,,,,1892,,,,,,635,,,,,,
,Blackpool North and Fleetwood,,1997,74989,53748,,288,,,19105,,,,,,28051,,4600,,,,,,,,,,,1704,,,,,,,,,,,,
,Blackpool South,,1997,75720,51340,,,,,17666,,,,,,29282,,4392,,,,,,,,,,,,,,,,,,,,,,,
,Blaenau Gwent,,1997,54800,39630,,,,,2607,,,,,,31493,,3458,,,,,,,,2072,,,,,,,,,,,,,,,
,Blaydon,,1997,64699,45925,,,,,6048,,,,,1412,27535,,10930,,,,,,,,,,,,,,,,,,,,,,,
,Blyth Valley,,1997,61761,42482,,,,,5666,,,,,,27276,,9540,,,,,,,,,,,,,,,,,,,,,,,
,Bognor Regis and Littlehampton,,1997,66480,46443,,,,,20537,,,,,,13216,,11153,,,,,,,,,,,,,,,,,,,,1537,,,
,Bolsover,,1997,66476,47414,,,,,7924,,,,,,35073,,4417,,,,,,,,,,,,,,,,,,,,,,,
,Bolton North East,,1997,67930,49207,,,,,14952,,,,,,27621,,4862,,,,,,,,,,,1096,,,,,,676,,,,,,
,Bolton South East,,1997,66459,43349,,,,,8545,,,,,,29856,,3805,,,,,,170,,,,,973,,,,,,,,,,,,
,Bolton West,,1997,63535,49160,,,,,17270,,,,,,24342,,5309,,,,,,,,,,,865,,,,,,1374,,,,,,
,Bootle,,1997,57284,38223,,,,,3247,,,,,,31668,,2191,,,,,,126,,,,,571,,,,,420,,,,,,,
,Boston and Skegness,,1997,67623,46574,,,,,19750,,,,,,19103,,7721,,,,,,,,,,,,,,,,,,,,,,,
,Bosworth,,1997,68113,52153,,,,,21189,,,,,,20162,,9281,,,,,,,,,,,1521,,,,,,,,,,,,
,Bournemouth East,,1997,61862,43432,,,,,17997,,,,,,9181,,13655,,,,,,,,,,,1808,,,,,,,,,791,,,
,Bournemouth West,,1997,62028,41072,,165,,,17115,,,,,,10093,,11405,,,,,,103,,,,,1910,,,,,,,,,281,,,
,Bracknell,,1997,79292,59091,,,,,27983,,,,,1909,17596,,9122,,,,,,,276,,,,1636,,,,,,,,,569,,,
,Bradford North,,1997,66228,41895,,,,,10723,,,,,,23493,,6083,,,369,,,,,,,,1227,,,,,,,,,,,,
,Bradford South,,1997,68391,45058,,,,,12622,,,,,,25558,,5093,,,,,,,,,,,1785,,,,,,,,,,,,
,Bradford West,,1997,71961,45568,,839,,,15055,,,861,,,18932,,6737,,,,,,,,,,,1348,,,,,245,1551,,,,,,
,Braintree,,1997,72772,55576,,,,,22278,,,712,,274,23729,,6418,,,,,,,,,,,2165,,,,,,,,,,,,
,Brecon and Radnorshire,,1997,52142,42881,,,,,12419,,,,,,11424,,17516,,,,,,,,622,,,900,,,,,,,,,,,,
,Brent East,,1997,53548,35272,,,,,7866,,,,,,23748,,2751,,,,,,103,218,,,120,,,,,,,466,,,,,,
,Brent North,,1997,54149,38174,,,,,15324,,,,,,19343,,3104,,,,,,204,,,,199,,,,,,,,,,,,,
,Brent South,,1997,53505,34498,,,,,5489,,,389,,,25180,,2670,,,,,,98,,,,175,497,,,,,,,,,,,,
,Brentford and Isleworth,,1997,79058,56135,,,,,17825,,,687,,,32249,,4613,,,,,,147,,,,,,,,,,,,,,614,,,
,Brentwood and Ongar,,1997,66005,50726,,,,,23031,,,,,,11231,,13341,,,,,,,,,,,2658,,,,,,,,,465,,,
,Bridgend,,1997,59721,43261,,,,,9867,,,,,,25115,,4968,,,,,,,,1649,,,1662,,,,,,,,,,,,
,Bridgwater,,1997,73038,54622,,,,,20174,,,,,,13519,,18378,,,,,,,,,,,2551,,,,,,,,,,,,
,Brigg and Goole,,1997,63648,46802,,,,,17104,,,,,,23493,,4692,,,,,,,,,,,1513,,,,,,,,,,,,
,Brighton Kemptown,,1997,65147,46132,,,,,17945,,,,,,21479,,4478,,,123,,,172,,,,93,1526,,,,,,316,,,,,,
,Brighton Pavilion,,1997,66431,48951,,,,,13556,,,1249,,1098,26737,,4644,,,,,,,,,,59,1304,,,,,,,,,179,,,
,Bristol East,,1997,68990,48201,,,,,11259,,,,,,27418,,7121,,,,,,158,,,,,1479,,,,,,766,,,,,,
,Bristol North West,,1997,75009,55245,,265,,,16193,,,,,1718,27575,,7263,,,,,,140,,,,,1609,,,,,,482,,,,,,
,Bristol South,,1997,72393,49859,,,,,10562,,,722,,153,29890,,6691,,,,,,,,,,,1486,,,,,355,,,,,,,
,Bristol West,,1997,84870,62641,,,,,20575,,,852,,,22068,,17551,,,,,,47,,,,,1304,,,,,,244,,,,,,
,Bromley and Chislehurst,,1997,71104,52738,,,,,24428,,,640,,,13310,285,12530,,,,,369,,,,,,,,,,,,,,,1176,,,
,Bromsgrove,,1997,67744,52257,,,,,24620,,,,,,19775,,6200,,,,,,,,,,,1411,,,,,,,,,251,,,
,Broxbourne,,1997,66720,46976,,610,,,22952,,,,,172,16299,,5310,,,,,,,,,,,1633,,,,,,,,,,,,
,Broxtowe,,1997,74144,58137,,,,,21768,,,,,,27343,,6934,,,,,,,,,,,2092,,,,,,,,,,,,
,Buckingham,,1997,62945,49398,,,,,24594,,,,,,12208,,12175,,,,,,421,,,,,,,,,,,,,,,,,
,Burnley,,1997,67582,45245,,,,,9148,,,,,,26210,,7877,,,,,,,,,,,2010,,,,,,,,,,,,
,Burton,,1997,72601,54511,,,,,21480,,,,,,27810,,4617,,,,604,,,,,,,,,,,,,,,,,,,
,Bury North,,1997,70515,55053,,,,,20657,,,,,,28523,,4536,,,,,,,,,,,1337,,,,,,,,,,,,
,Bury South,,1997,66568,50378,,,,,16277,,,,,,28658,,4227,,,,,,,,,,,1216,,,,,,,,,,,,
,Bury St. Edmunds,,1997,74017,55525,,,,,21290,,,,,,20922,,10102,,,,,,272,,,,,2939,,,,,,,,,,,,
,Caernarfon,,1997,46815,34510,,,,,4230,,,,,,10167,,1686,,,,,,,,17616,,,811,,,,,,,,,,,,
,Caerphilly,,1997,64621,45269,,,,,4858,,,,,,30697,,3724,,,,,,,270,4383,,,1337,,,,,,,,,,,,
,"Caithness, Sutherland and Easter Ross",,1997,41566,29172,,,,,3148,,,230,,,8122,,10381,,,,,,,,,,,369,6710,,,,,,,,212,,,
,Calder Valley,,1997,74901,56466,,431,,,19795,,,488,,,26050,,8322,,,,,,,,,,,1380,,,,,,,,,,,,
,Camberwell and Peckham,,1997,50214,28374,,,,,3283,,,,,,19734,443,3198,,,,,,,,,,,692,,,,,233,685,,,,,,106
,Cambridge,,1997,71669,51339,,,,,13299,,,654,,,27436,,8287,,,,,,103,191,,,,1262,,,,,,,,,,,,107
,Cambridgeshire North East,,1997,76056,55425,,,,,23855,,,,,,18754,,9070,,,,,,259,,,,,2636,,,,,,851,,,,,,
,Cambridgeshire North West,,1997,65791,48818,,,,,23488,,,,,,15734,,7388,,,,,,,,,,,1939,,,,,,,,,269,,,
,Cambridgeshire South,,1997,69850,53683,,,,,22572,,,,,,13485,,13860,,,,,,168,,,,,3300,,,,,,,,,298,,,
,Cambridgeshire South East,,1997,75666,56807,,,,,24397,,,,,167,15048,,14246,,,,,,111,,,,,2838,,,,,,,,,,,,
,Cannock Chase,,1997,72362,52366,,,,,14227,,,,,1615,28705,,4537,,,499,,,,,,,,1663,,,,,,1120,,,,,,
,Canterbury,,1997,74548,54109,,,,,20913,,,588,,,16949,,12854,,,,,,64,,,,,2460,,,,,,,,,281,,,
,Cardiff Central,,1997,60354,42253,,,,,8470,,,,,,18464,,10541,,,204,,,80,,1504,,,760,,,,,,2230,,,,,,
,Cardiff North,,1997,60430,48488,,,,,16334,,,,,,24460,,5294,,,,,,,,1201,,,1199,,,,,,,,,,,,
,Cardiff South and Penarth,,1997,61838,42420,,,,,8786,,,,,3942,22647,,3964,,,,,,170,,1356,,,1211,,,,,344,,,,,,,
,Cardiff West,,1997,58198,40277,,,,,8669,,,,,,24297,,4366,,,,,,,,1949,,,996,,,,,,,,,,,,
,Carlisle,,1997,59917,43607,,,,,12641,,,,,,25031,,4576,,,,,,126,,,,,1233,,,,,,,,,,,,
,Carmarthen East and Dinefwr,,1997,53079,41732,,,,,5022,,,,,,17907,,3150,,,,,,,,14457,,,1196,,,,,,,,,,,,
,Carmarthen West and Pembrokeshire South,,1997,55724,42641,,,,,11335,,,,,,20956,,3516,,,,,,,,5402,,,1432,,,,,,,,,,,,
,"Carrick, Cumnock and Doon Valley",,1997,65593,49171,,,,,8336,,,,,,29398,,2613,,,,,,,,,,,634,8190,,,,,,,,,,,
,Carshalton and Wallington,,1997,66038,48423,,261,,,16223,,,377,,,11565,,18490,,,,,,,,,,,1289,,,,,,,,,218,,,
,Castle Point,,1997,67146,48545,,,,,19462,,,,,1301,20605,,4477,,,,,,,,,,,2700,,,,,,,,,,,,
,Ceredigion Gogledd Penfro,,1997,54378,40186,,,,,5983,,,,,,9767,,6616,,,,,,,,16728,,,1092,,,,,,,,,,,,
,Charnwood,,1997,72692,56173,,525,,,26110,,,,,,20210,,7224,,,,,,,,,,,2104,,,,,,,,,,,,
,Chatham and Aylesford,,1997,69172,49161,,,,,18401,,,,,,21191,,7389,,,,,,149,,,,,1538,,,,,,,,,493,,,
,Cheadle,,1997,67627,52463,,,,,22944,,,,,,8253,,19755,,,,,,,,,,,1511,,,,,,,,,,,,
,Chelmsford,,1997,76086,58577,,,,,23781,,,411,,,15436,,17090,,,,,,,,,,,1536,,,,,,,,,323,,,
,Cheltenham,,1997,67950,50303,,,,,18232,,,,,,5100,,24877,,,375,,,107,245,,,,1065,,,,,,,,,302,,,
,Chesham and Amersham,,1997,69244,52197,,,,,26298,,,,,,10240,,12439,,,,,,74,,,,,2528,,,,,,,,,618,,,
,"Chester, City of",,1997,71730,56257,,,,,19253,,,,,154,29806,,5353,,,204,,,,,,,,1487,,,,,,,,,,,,
,Chesterfield,,1997,72472,51389,,,,,4752,,,,,202,26105,,20330,,,,,,,,,,,,,,,,,,,,,,,
,Chichester,,1997,74489,55779,,,,,25895,,,,,,9605,,16161,,,,,,,,,,,3318,,,,,,,,,800,,,
,Chingford and Woodford Green,,1997,62904,44448,,1059,,,21109,,,,,,15395,,6885,,,,,,,,,,,,,,,,,,,,,,,
,Chipping Barnet,,1997,69049,49565,,,,,21317,,,,,,20282,,6121,,,253,,,159,243,,,,1190,,,,,,,,,,,,
,Chorley,,1997,74387,57706,,,,,20737,,,,,,30607,,4900,,,,,,143,,,,,1319,,,,,,,,,,,,
,Christchurch,,1997,71488,56199,,,,,26095,,,,,,3884,,23930,,,,,,,,,,,1684,,,,,,,,,606,,,
,Cities of London and Westminster,,1997,69047,40155,,,,,18981,,,,,266,14100,,4933,,,138,,,176,,,,73,1161,,,,,,,,,215,,,
,Cleethorpes,,1997,68763,50473,,,,,16882,,,,,,26058,,5746,,,,,,,,,,,1787,,,,,,,,,,,,
,Clwyd South,,1997,53495,39383,,,,,9091,,,,,,22901,,3684,,,,,,,,2500,,,1207,,,,,,,,,,,,
,Clwyd West,,1997,53467,40257,,,,,13070,,,,,583,14918,,5151,,,,,,,,5421,,,1114,,,,,,,,,,,,
,Clydebank and Milngavie,,1997,52092,39086,,,,,4885,,,,,,21583,,4086,,,,,,,,,,,269,8263,,,,,,,,,,,
,Clydesdale,,1997,63428,45412,,311,,,7396,,,,,,23859,,3796,,,,,,,,,,,,10050,,,,,,,,,,,
,Coatbridge and Chryston,,1997,52024,37609,,,,,3216,,,,,,25694,,2048,,,,,,,,,,,249,6402,,,,,,,,,,,
,Colchester,,1997,74743,52006,,,,,16305,,,,,,15891,,17886,,,,,,148,,,,,1776,,,,,,,,,,,,
,Colne Valley,,1997,73338,56411,,,,,18445,,,493,,,23285,,12755,,,196,,,,,,,,,,,,,,759,,,478,,,
,Congleton,,1997,68873,53418,,,,,22012,,,,,,14713,,15882,,,,,,,,,,,,,,,,,,,,811,,,
,Conwy,,1997,55092,41560,,,,,10085,,,,,250,14561,,12965,,,,,,95,,2844,,,760,,,,,,,,,,,,
,Copeland,,1997,54263,41397,,,,,12081,,,,,,24077,,3814,,,,,,,389,,,,1036,,,,,,,,,,,,
,Corby,,1997,69252,53957,,,,,18028,,,,,,29888,,4045,,,,,,133,,,,,1356,,,,,,,,,507,,,
,Cornwall South East,,1997,75825,57432,,,,,20564,,,,,,7358,268,27044,,573,,,,197,,,,,,,,,,,,,,1428,,,
,Cotswold,,1997,67333,51121,,,,,23698,,,560,,,11608,,11733,,,,,,129,,,,,3393,,,,,,,,,,,,
,Coventry North East,,1997,74274,48085,,,,,9287,,,,,,31856,1181,3866,,,,,,,,,,173,1125,,,,,,597,,,,,,
,Coventry North West,,1997,76439,54322,,,,,14300,,,,,,30901,687,5690,,,,,,,359,,,176,1269,,,,,,940,,,,,,
,Coventry South,,1997,71826,50124,,328,,,14558,,,,,,25511,725,4617,,,,,,,,,,180,943,,,,,3262,,,,,,,
,Crawley,,1997,69040,50417,,,,,16043,,,,,230,27750,,4141,,,,,,,,,,,1931,,,,,,,,,322,,,
,Crewe and Nantwich,,1997,68694,50605,,,,,13662,,,,,,29460,,5940,,,,,,,,,,,1543,,,,,,,,,,,,
,Crosby,,1997,57190,44141,,,,,15367,,,,,,22549,233,5080,,,,,,99,,,,,813,,,,,,,,,,,,
,Croydon Central,,1997,80152,55799,,,,,21535,,,595,,,25432,,6061,,,,,,,,,,,1886,,,,,,,,,290,,,
,Croydon North,,1997,77063,52563,,,,,14274,,,,,,32672,,4066,,,,,,,,,,,1155,,,,,,,,,396,,,
,Croydon South,,1997,73787,54199,,354,,,25649,,,,,96,13719,,11441,,,,,,,,,,,2631,,,,,,,,,309,,,
,Cumbernauld and Kilsyth,,1997,48032,36024,,,,,2441,,,,,,21141,,1368,,,,,,,609,,,,107,10013,345,,,,,,,,,,
,Cunninghame North,,1997,55526,41129,,,,,9647,,,,,,20686,,2271,,,,,,,,,,,440,7584,,,,,501,,,,,,
,Cunninghame South,,1997,49543,35444,,,,,3571,,,,,,22233,,1604,,,,,,,,,,,178,7364,,,,,494,,,,,,
,Cynon Valley,,1997,48286,33422,,,,,2260,,,,,,23307,,3459,,,,,,,,3552,,,844,,,,,,,,,,,,
,Dagenham,,1997,58573,36163,,900,,,6705,,,,,349,23759,,2704,,,,183,,,152,,,,1411,,,,,,,,,,,,
,Darlington,,1997,65140,48173,,,,,13633,,,,,,29658,,3483,,,,,,,,,,,1399,,,,,,,,,,,,
,Dartford,,1997,69726,52039,,424,228,,20950,,,,,287,25278,,4872,,,,,,,,,,,,,,,,,,,,,,,
,Daventry,,1997,80151,61750,,,,,28615,,,,,,21237,,9233,,,,,,204,,,,,2018,,,,,,,,,443,,,
,Delyn,,1997,53693,40742,,,,,10607,,,,,,23300,,4160,,,,,,,,1558,,,1117,,,,,,,,,,,,
,Denton and Reddish,,1997,68866,46084,,,,,9826,,,,,,30137,,6121,,,,,,,,,,,,,,,,,,,,,,,
,Derby North,,1997,76116,56143,,,,,19229,,,,,,29844,,5059,,,,,,,195,,,,1816,,,,,,,,,,,,
,Derby South,,1997,76386,51819,,,,,13048,,,,,,29154,,7438,,,,317,,,,,,,1862,,,,,,,,,,,,
,Derbyshire North East,,1997,71653,51979,,,,,13104,,,,,,31425,,7450,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire South,,1997,76672,59967,,,,,18742,,,,,,32709,,5408,,,,,,,,,,,2491,,,,,,,,,617,,,
,Derbyshire West,,1997,72716,56883,,,,,23945,,,,,593,19060,,9940,,,281,,,,,,,,2499,,,,,,,,,484,,,
,Devizes,,1997,80383,60036,,,,,25710,,,,,,14551,,15928,,,,,,204,,,,,3021,,,,,,,,,622,,,
,Devon East,,1997,69094,52545,,,,,22797,,,,,,9292,1363,15303,,,,131,,,,,,,3200,,,,,,,,,459,,,
,Devon South West,,1997,69293,52781,,,,,22659,,,,,,15262,,12542,,,,,,159,,,,,1668,,,,,,,,,491,,,
,Devon West and Torridge,,1997,75919,59145,,,,,22787,,,,,,7319,508,24744,,,,,,,,,,,1946,,,,,,,,,1841,,,
,Dewsbury,,1997,61523,43075,,2232,,,12963,,,383,,770,21286,,4422,,,,,,,,,,,1019,,,,,,,,,,,,
,Don Valley,,1997,65643,43557,,,,,10717,,,493,,,25376,,4238,,,,,,,330,,,,1379,,,,,,1024,,,,,,
,Doncaster Central,,1997,67965,43440,,,,,9105,,,,,,26961,,4091,,,,,,,694,,,,1273,,,,,,854,,,462,,,
,Doncaster North,,1997,63019,39888,,,,,5906,,,,,1181,27843,,3369,,,,,,,,,,,1589,,,,,,,,,,,,
,Dorset Mid and Poole North,,1997,67049,50733,,,,,20632,,,,,,8014,,19951,,,,,,,,,,,2136,,,,,,,,,,,,
,Dorset South,,1997,66318,49182,,,,,17755,,,,,,17678,,9936,,,,,,161,,,,,2791,,,,,,,,,861,,,
,Dorset West,,1997,70369,53552,,,,,22036,,,,,,9491,,20196,,,,,,239,,,,,,,,,,,,,,1590,,,
,Dover,,1997,68669,54200,,,,,17796,,,,,,29535,,4302,,,,,,,,,,,2124,,,,,,,,,443,,,
,Down North,,1997,63010,36556,7554,,,,1810,,,,,1240,0,,,,,,,,108,,,,,,,,,1602,,,,11368,,12817,,
,Down South,,1997,69855,49486,1711,,,,,,,,,,0,,,,,,,,219,,,,,,,,5127,26181,,,,16248,,,,
,Dudley North,,1997,68835,47808,,,,,15014,,,,,,24471,,3939,,,,469,559,,,,,,1201,,,,,,2155,,,,,,
,Dudley South,,1997,66731,47902,,,,,14097,,,,,,27124,,5214,,,,,,,,,,,1467,,,,,,,,,,,,
,Dulwich and West Norwood,,1997,69655,45615,,,,,11038,,,,,38,27807,587,4916,,,,,,,,,,173,897,,,,,,,,,159,,,
,Dumbarton,,1997,56229,41264,,,,,7283,,,,,,20470,,3144,,,,,,,,,,,255,9587,283,,,,,,,242,,,
,Dumfries,,1997,62759,49527,,,,,13885,,,,,,23528,,5487,,,,,,117,,,,,533,5977,,,,,,,,,,,
,Dundee East,,1997,58388,40528,,,,,6397,,,,,,20718,,1677,,,,,,146,,,,,601,10757,232,,,,,,,,,,
,Dundee West,,1997,57346,38807,,,,,5105,,,,,,20875,,2972,,,,,,,,,,,411,9016,428,,,,,,,,,,
,Dunfermline East,,1997,52072,36583,,,,,3656,,,,,,24441,,2164,,,,,,,,,,,632,5690,,,,,,,,,,,
,Dunfermline West,,1997,52467,36434,,,,,4606,,,,,,19338,,4963,,,,,,,,,,,543,6984,,,,,,,,,,,
,Durham North,,1997,67891,47168,,,,,6843,,,,,,33142,,5225,,,,,,,,,,,1958,,,,,,,,,,,,
,Durham North West,,1997,67156,46319,,,,,7101,,,,,,31855,,4991,,,,,,,,,,,2372,,,,,,,,,,,,
,"Durham, City of",,1997,69340,49135,,,,,8598,,,,,,31102,,7499,,,,,,213,,,,,1723,,,,,,,,,,,,
,Ealing Acton and Shepherd's Bush,,1997,72078,48061,,,,,12402,,,,,209,28052,,5163,,,,,,150,265,,,,637,,,,,,635,,,385,,,
,Ealing North,,1997,78144,55726,,,,,20744,,,502,,,29904,,3887,,,,,,,,,,,,,,,,,,,,689,,,
