Constituency,Electorate,votes,region,country,Turnout,Labour,Alliance (Lib),Conservative,Plaid Cymru,Alliance (SDP),SNP,Ecology,Ind,Official Unionist Party,Ulster Popular Unionist,Democratic Unionist Party,Alliance,SDLP,Workers Party,Sinn Fein,Conservative for Capital Punishment,National Labour,BNP,National Front,Progressive Liberal,World Government,Campign for Black & White Unity,Communist,Labour & Trade Union,Noise Abatement,Ind Democratic Unionist Party,Radical & Anti-Parliamentarian,Jesus & His Cross,Ind Conservative,Stop Deportation of Black People,Workers Revolutionary Party,Revolutionary Communist,Ind Communist,Loony Monster,Ind Labour,Loony Society,Ethnic Minority,Conservative Against the Common Market,Freedom from World Domination,Freddie's Alternative Medicine Party,Cornish Nationalist,National Party,Christian Democrat,Fancy Dress Party,Wessex Regionalist,Mebyon Kernow,Women for Life on Earth,Ban Every Licensing Law Society,Law and Order,Anti-Censorship,Party of Associates with Licensees,Belgrano Blood Hunger,Ind Liberal,Anti-Vivisection,Fellowship,Party of Associates with Licensees,Local Ind Labour,Poet,Reintroduction of Hanging and Corporal Punishment,Freedom,One Nation Conservative,Prosperity for All,Spare the Earth Ecology,Modern Democratic Party,I O W Residents Party,Council for United Ireland,Islington & Finsbury Party,Socialist Party of GB,New Britain,Anti-Corruption,Against Cuts in Education,Workers Party for a Workers State,Assassins Bullet,Restoration of Capital and Corporal Punishment,Computer Democrat,Ind Powellite,Workers Charter with Pensioners Political Power,Servicemens & Citizens Association,Anti-Common Market,Referendum,Southport Back in Lancashire,Gizza Job,Nationalist,Ratepayer,Speaker
Bassetlaw,65721,,,,0.7418,22231,,18400,,8124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath,64325,,,,0.7442,7259,,22544,,17240,,441,,,,,,,,,,,,,319,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batley & Spen,73798,,,,0.734,20563,,21433,,11678,,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battersea,65938,,,,0.6661,19248,,15972,,7675,,377,,,,,,,,,,,,539,,,86,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaconsfield,66186,,,,0.7239,5107,12252,30552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckenham,58719,,,,0.7005,6386,10936,23606,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire Mid,75558,,,,0.7693,9420,15661,33042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire North,71491,,,,0.7519,11323,14120,27969,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire South West,76298,,,,0.7563,9899,,31767,,16036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast East,55581,,,,0.7001,,,,,,,,,9642,,17631,9373,519,421,682,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast North,61128,,,,0.6939,,,,,,,,,15339,,8260,3879,5944,2412,5451,,,,,,,,,,,1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast South,53694,,,,0.6958,,,,,,,,,18669,,4565,8945,3216,856,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belfast West,59750,,,,0.7425,,,,,,,,10326,2435,,2399,,10934,1893,16379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkshire East,81512,,,,0.7335,7953,,33967,,17868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick-upon-Tweed,53585,,,,0.7778,5975,21958,13743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethnall Green & Stepney,55333,,,,0.5573,15740,9382,4323,,,,,214,,,,,,,,,,,800,,,,243,,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverley,75813,,,,0.7323,6921,17364,31233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexhill & Battle,61785,,,,0.7289,3587,10583,30329,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexleyheath,59263,,,,0.7445,7560,13153,23411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
