Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Con,LD,Lab,PC,Ver,Grn,SNP,SSP,SIP,UKIP,ED,MRLP,BNP,FW,Ind,Comm,DUP,UU,APNI,SDLP,SF,Vote,PVP,Ash,LCP,SSCP,SL,NF,YrP,OCV,WRP,BDMB,MC,OF,WP,Lib,Resp,PAP,CG,S Alt,XX,CLBH,PP,AGS,SBNB,LCA,Bean,CPA,MK,FF,DSA,JP,C28,TPC,Croy,NEP,C Grp,PART,WR,FIT,DDT,Elvis,Mast,GBB,SCP,EPP,SEA,Speaker,SU,IGV,PPS,OFD,EIP,PD,IP,RAL,TW,PHF,SMP,NP,BPP,PubP,SNHS,Glasnost,CAP,IPL,RP,ThP,FSP,NACV,SOS,SocU,IWCA,PIP,MCN,Civ,IZB,UKCI,StA,BMG,PenP,UKPF,IWNN,Wor,RRL,VCCA,Max,FrP,Soc,DLP,DHPW,TEPK,Alt,Tel,KHHC,Other
,Edinburgh East [224],,2005,,,4093,9697,15899,,,2266,6760,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,Neath [406],,2005,,,4136,5112,18835,6125,,658,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull East [318],,2005,,,4138,5862,17609,,750,,,,,,,,1022,,334,,,,,,,,,,,,207,,,,,,,,,1018,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Durham [212],,2005,,,4179,17654,20928,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burnley [108],,2005,,,4206,9221,14999,,,,,,,376,,,4003,,5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney North & Stoke Newington [276],,2005,,,4218,6841,14268,,,2907,,,,,,248,,,602,,,,,,,,,,,,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ogmore [434],,2005,,,4243,4592,18295,3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rochdale [473],,2005,,,4270,16787,16345,,353,448,,,,499,,,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,
,Tottenham [574],,2005,,,4278,5309,18343,,,1457,,,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kirkcaldy & Cowdenbeath [339],,2005,,,4308,5450,24278,,,,6062,666,,516,,,,,91,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Makerfield [381],,2005,,,4345,3789,22494,,,,,,,962,,,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dunfermline & West Fife [209],,2005,,,4376,8549,20111,,,,8026,689,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceredigion [134],,2005,,,4455,13130,4337,12911,268,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brent South [91],,2005,,,4485,6175,17501,,,957,,,,,,,,,297,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knowsley South [341],,2005,,,4492,7132,24820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livingston [370],,2005,,,4499,6832,22657,,,,9560,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hackney South & Shoreditch [277],,2005,,,4524,6844,17048,,,1779,,,,,,,,,,200,,,,,,,,,,,,,,,92,,,,,313,1437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Falkirk [242],,2005,,,4538,7321,23264,,,,9789,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inverness, Nairn, Badenoch  & Strathspey   [326]",,2005,,,4579,17830,13682,,,1065,5992,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islington South & Finsbury [330],,2005,,,4594,11861,12345,,,1471,,,,470,,189,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
